,title,director,distributor,distributor_group,release_date,release_season,nation,screen,genre,rate,expert_rating,starring_actors,running_times,audience_rating,rating_audiences,director_power,sequel,original,actor_power,before_news,after_news
504,루이스,"울프강 라우엔슈타인,크리스토프 라우엔슈타인",(주)스마일이엔티,D,9/20/2018,autumn,기타,325,애니메이션,전체관람가,6.0,"캘럼 말로니,더모트 마제니스,폴 타이랙",85,8.675,200,279000.0,0,0,0,394603.0,615.0
505,타임 패러독스,"마이클 스피어리그,피터 스피어이그",(유)조이앤시네마,D,1/7/2015,winter,기타,232,SF,15세이상관람가,6.0,"에단 호크,노아 테일러,사라 스누크",97,7.672131147999999,61,793320.0,1,0,2212838,563.0,40.0
506,아메리칸 셰프,존 파브로,(주)영화사 진진,D,1/7/2015,winter,미국,111,코미디,15세이상관람가,6.25,"존 파브로,엠제이 안소니,소피아 베르가라",114,8.85106383,94,4889524.0,1,0,910998,3021.0,24.0
507,다이노X 탐험대,이동희,(주)이수C&E,B,5/4/2016,spring,한국,348,애니메이션,전체관람가,0.0,"정준하,하하",70,7.15483871,310,82148.0,0,0,164296,171.0,46.0
508,아이 필 프리티,아비 콘,(주)홈초이스,C,6/6/2018,summer,미국,213,코미디,15세이상관람가,4.0,"에이미 슈머,미셸 윌리엄스",110,9.103109656,611,229346.0,0,0,18930302,769.0,113.0
509,본 투 비 블루,로버트 뷔드로,그린나래미디어(주),D,6/9/2016,summer,기타,147,드라마,청소년관람불가,7.13,"에단 호크,카르멘 에조고,칼럼 키스 레니",97,8.595505617999999,89,74977.0,0,0,1877569,1229.0,51.0
510,러브 앳,위고 젤랭,(주)크리픽쳐스,D,11/27/2019,autumn,프랑스,153,멜로/로맨스,12세이상관람가,6.0,"프랑수아 시빌,조세핀 자피",118,10.0,2,101864.0,0,0,284536,1864.0,166.0
511,폴란드로 간 아이들,추상미,커넥트픽쳐스(주),D,10/31/2018,autumn,한국,181,다큐멘터리,전체관람가,6.2,"이송,추상미",79,9.635294118,85,48462.0,0,0,96924,2219.0,115.0
512,업사이드,닐 버거,(주)디스테이션,D,6/13/2019,summer,미국,188,코미디,12세이상관람가,5.8,"브라이언 크랜스톤,케빈 하트,니콜 키드먼",126,9.772727273,22,42727.0,0,1,89174859,7634.0,226.0
513,아메리칸 울트라,니마 누리자데,씨제이이앤엠(주),A,8/27/2015,summer,미국,341,액션,청소년관람불가,6.33,"제시 아이젠버그,크리스틴 스튜어트,코니 브리튼",95,7.220689655,145,161382.0,0,0,56828097,778.0,116.0
514,나미야 잡화점의 기적,히로키 류이치,(주)이수C&E,B,2/28/2018,winter,일본,532,판타지,전체관람가,5.75,"야마다 료스케,니시다 토시유키,무라카미 니지로",130,7.669811321,424,192093.0,0,1,15291,4725.0,138.0
515,신은 죽지 않았다 3: 어둠 속의 빛,마이클 메이슨,"(주)영화사 그램,(재)CBS",D,7/19/2018,summer,미국,179,드라마,12세이상관람가,5.0,"데이빗 A.R. 화이트,존 코베트,쉐인 하퍼",105,8.9375,48,83474.0,1,0,287955,318.0,103.0
516,아빠는 딸,김형협,메가박스중앙(주)플러스엠,A,4/12/2017,spring,한국,520,코미디,12세이상관람가,4.0,"윤제문,정소민",115,8.734072022000001,361,646195.0,1,0,62351653,340487.0,1053.0
517,몬스터 패밀리,호거 태프,씨네그루(주)키다리이엔티,B,12/21/2017,winter,기타,617,애니메이션,전체관람가,6.0,"에밀리 왓슨,닉 프로스트,제시카 브라운 핀들레이",93,8.306167401,454,341614.0,1,0,0,4197.0,106.0
518,패딩턴,폴 킹,롯데쇼핑㈜롯데엔터테인먼트,A,1/7/2015,winter,영국,408,코미디,전체관람가,6.64,"벤 위쇼,니콜 키드먼,휴 보네빌",95,8.754716981,265,946106.0,1,0,63794742,2010.0,139.0
519,레드 스패로,프란시스 로렌스,이십세기폭스코리아(주),B,2/28/2018,winter,미국,389,스릴러,청소년관람불가,5.33,"제니퍼 로렌스,조엘 에저튼,마티아스 쇼에나에츠",140,8.629032257999999,248,3701500.0,0,1,69385863,376.0,96.0
520,모아나,"론 클레멘츠,존 머스커",월트디즈니컴퍼니코리아 유한책임회사,B,1/12/2017,winter,미국,953,애니메이션,전체관람가,6.4,"아우이 크라발호,드웨인 존슨,레이첼 하우스",113,9.249090909,1650,6930162.0,0,0,138264903,4784.0,293.0
521,미 비포 유,테아 샤록,워너브러더스 코리아(주),B,6/1/2016,summer,미국,481,멜로/로맨스,12세이상관람가,5.0,"에밀리아 클라크,샘 클라플린",110,8.811320755,636,820800.0,1,0,33882476,2265.0,162.0
522,에베레스트,발타자르 코루마쿠르,유니버설픽쳐스인터내셔널 코리아(유),B,9/24/2015,autumn,미국,331,어드벤처,12세이상관람가,6.42,"제이슨 클락,제이크 질렌할,조슈 브롤린",121,7.760162602,246,782240.0,1,0,144937014,27304.0,212.0
523,피터와 드래곤,데이빗 로워리,월트디즈니컴퍼니코리아(주),B,9/28/2016,autumn,미국,167,어드벤처,전체관람가,7.0,"브라이스 달라스 하워드,오크스 페글리,웨스 벤틀리",103,8.415254237000001,118,109137.0,1,0,48838880,1429.0,24.0
524,최악의 하루,김종관,CGV아트하우스,A,8/25/2016,summer,한국,199,멜로/로맨스,15세이상관람가,6.9,"한예리,이와세 료,권율",93,8.394736842,114,264690.0,0,0,73759217,97449.0,308.0
525,명탐정 코난 : 화염의 해바라기,시즈노 코분,씨제이이앤엠(주),A,8/5/2015,summer,일본,433,애니메이션,전체관람가,4.5,"김선혜,강수진,신용우",112,8.637096774,372,5748553.0,1,1,10730881,148.0,40.0
526,헤이트풀8,쿠엔틴 타란티노,(주)누리픽쳐스,D,1/7/2016,winter,미국,167,액션,청소년관람불가,8.5,"사무엘 L. 잭슨,커트 러셀,제니퍼 제이슨 리",167,8.166666667000001,6,778167.0,0,0,246328373,1196.0,156.0
527,바다 탐험대 옥토넛 시즌4: 빙하탐험선S,다라 오코넬,와이드 릴리즈(주),D,2/25/2016,winter,영국,155,애니메이션,전체관람가,0.0,"하성용,정재헌,엄상현(페이소,트래커 목소리)",58,7.775862068999999,232,1206342.0,1,1,4183631,10.0,1.0
528,포커스,"글렌 피카라,존 레쿼",워너브러더스 코리아(주),B,2/26/2015,winter,미국,349,코미디,15세이상관람가,0.0,"윌 스미스,마고 로비,로드리고 산토로",104,7.605263158,38,273492.0,0,0,42454932,521289.0,1670.0
529,암전,김진원,TCO(주)더콘텐츠온,D,8/15/2019,summer,한국,423,미스터리,15세이상관람가,5.25,"서예지,진선규",86,5.482758621,29,0.0,0,0,97966522,9021.0,370.0
530,미니언즈,"피에르 꼬팽,카일 발다",유니버설픽쳐스인터내셔널 코리아(유),B,7/29/2015,summer,미국,792,애니메이션,전체관람가,5.63,"피에르 꼬팽,마이클 키튼,산드라 블록",91,8.239776952,1614,27875256.0,0,1,65726457,10759.0,335.0
531,알리타: 배틀 엔젤,로버트 로드리게즈,이십세기폭스코리아(주),B,2/5/2019,winter,미국,1043,액션,12세이상관람가,7.14,"로사 살라자르,크리스토프 왈츠,키언 존슨",122,8.88907563,1190,1949372.0,0,1,26918346,3502.0,533.0
532,이스케이프 룸,애덤 로비텔,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,B,3/14/2019,spring,미국,850,액션,15세이상관람가,5.33,"테일러 러셀,로건 밀러,제이 엘리스",100,7.986870897,457,1672226.0,0,0,3378684,1512.0,343.0
533,분노의 질주: 더 익스트림,F. 게리 그레이,유니버설픽쳐스인터내셔널 코리아(유),B,4/12/2017,spring,미국,1469,액션,15세이상관람가,6.0,"빈 디젤,드웨인 존슨,샤를리즈 테론",136,9.318847656,2048,8247867.0,0,1,235966075,2843.0,317.0
534,캣츠,톰 후퍼,유니버설픽쳐스인터내셔널 코리아(유),B,12/24/2019,winter,미국,1143,코미디,12세이상관람가,4.75,"제니퍼 허드슨,테일러 스위프트,이드리스 엘바",109,6.825991189,454,996403.0,0,1,39910348,43139.0,528.0
535,더 랍스터,요르고스 란티모스,"(주)영화사오원,(주)브리즈픽처스",D,10/29/2015,autumn,영국,75,판타지,청소년관람불가,7.64,"콜린 파렐,레이첼 와이즈,레아 세이두",118,8.524590164,122,392466.0,0,0,56787953,6428.0,60.0
536,헌터 킬러,도노반 마시,씨네그루(주)키다리이엔티,B,12/6/2018,winter,미국,226,액션,15세이상관람가,5.0,"제라드 버틀러,게리 올드만",121,8.905660377,53,55919.0,0,0,31217280,1503.0,105.0
537,로스트 인 더스트,데이빗 맥킨지,메가박스중앙(주)플러스엠,A,11/3/2016,autumn,미국,354,범죄,15세이상관람가,8.1,"크리스 파인,벤 포스터,제프 브리지스",103,8.333333332999999,90,79889.0,0,0,51333010,630.0,86.0
538,내 심장을 쏴라,문제용,"(주)리틀빅픽쳐스,(주)이수C&E",D,1/28/2015,winter,한국,452,드라마,15세이상관람가,4.55,"이민기,여진구",102,8.256544502999999,191,387409.0,1,0,39814933,7297.0,409.0
539,달빛궁궐,김현주,(주)넥스트엔터테인먼트월드(NEW),C,9/7/2016,autumn,한국,425,애니메이션,전체관람가,5.0,"김서영,이하늬,권율",80,8.25974026,154,151360.0,1,0,119198946,3759.0,241.0
540,글래스,M. 나이트 샤말란,월트디즈니컴퍼니코리아 유한책임회사,B,1/17/2019,winter,미국,837,드라마,15세이상관람가,6.33,"제임스 맥어보이,브루스 윌리스,사무엘L.잭슨",129,8.128630705,482,4460383.0,1,0,82863195,54892.0,481.0
541,스머프: 비밀의 숲,캘리 애스버리,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,B,4/28/2017,spring,미국,607,애니메이션,전체관람가,7.0,"맨디 파틴킨,데미 로바토,레인 윌슨",89,8.644,750,905037.0,1,1,2266062,633.0,117.0
