,영화명,개봉일,매출액,매출액점유율,누적매출액,관객수,누적관객수,스크린수,상영횟수,대표국적,국적,제작사,배급사,등급,장르,감독,배우,main_actors,개봉일_int,director_involved,전국관객수
1105,아일라,2018-06-21,282060500,0.0,282060500,36335,36335,371,4314,터키,터키,,(주)영화사 빅,15세이상관람가,"드라마,전쟁",칸 울카이,"김설,이스마일 하지오글루",,2018,True,36335
1106,스파키,2018-04-12,257040200,0.0,257040200,35436,35436,312,1949,한국,한국,(주)레드로버,예지림엔터테인먼트,전체관람가,"애니메이션,어드벤처,코미디","아론 우들리,애론 우들리","제시카 비엘,수잔 서랜든",,2018,True,35436
1107,빅샤크: 매직체인지,2018-06-27,237924500,0.0,237924500,31618,31618,403,1355,중국,중국,,와이드 릴리즈(주),전체관람가,애니메이션,헤 질리,"이제인,장병관,김사라,김한나,윤세웅,홍후백","이제인, 장병관, 김사라",2018,True,31618
1108,막달라 마리아: 부활의 증인,2018-03-28,214751200,0.0,214751200,30827,30827,111,2454,영국,영국,,유니버설픽쳐스인터내셔널 코리아(유),12세이상관람가,드라마,가스 데이비스,"루니 마라,호아킨 피닉스,치웨텔 에지오포,아리안 라베드","루니 마라, 호아킨 피닉스, 치웨텔 에지오포",2018,True,30827
1109,원더스트럭,2018-05-03,229074500,0.0,229074500,26914,26914,111,2558,미국,미국,,CGV아트하우스,전체관람가,드라마,토드 헤인즈,"줄리안 무어,오크스 페글리,미쉘 윌리엄스,밀리센트 시몬스","줄리안 무어, 오크스 페글리, 미쉘 윌리엄스",2018,True,26027
1110,하이큐!! 콘셉트의 싸움,2018-01-11,182534000,0.0,182534000,24898,24898,97,2099,일본,일본,,(주)팝엔터테인먼트,12세이상관람가,애니메이션,미츠나카 스스무,,,2018,True,24898
1111,터닝메카드W: 반다인의 비밀 특별판,2018-02-08,164797700,0.0,164797700,21947,21947,168,1728,한국,한국,㈜희원엔터테인먼트,"(주)제이앤씨미디어그룹,(주)버킷스튜디오",전체관람가,애니메이션,홍헌표,"소연,윤미나,이현진,이재현,이지현,이현진,신용우,정재헌,정혜원,조현정,김율","소연, 윤미나, 이현진",2018,True,21947
1112,원더 휠,2018-01-25,173610195,0.0,173610195,21884,21884,140,1876,미국,미국,,(주)팝엔터테인먼트,15세이상관람가,드라마,우디 앨런,"케이트 윈슬렛,주노 템플,저스틴 팀버레이크,제임스 벨루시","케이트 윈슬렛, 주노 템플, 저스틴 팀버레이크",2018,True,21884
1113,다이노 헌터: 티렉스VS파키리노 대격돌,2018-05-17,169760400,0.0,169760400,20979,20979,168,1326,영국,영국,,(주)박수엔터테인먼트,전체관람가,애니메이션,"닐 나이팅게일,베리 쿡,앤드류 코헨",,,2018,True,20979
1114,변산,2018-07-04,128019800,0.0,128019800,15896,15896,14,92,한국,한국,변산문화산업전문(유),메가박스중앙(주)플러스엠,15세이상관람가,드라마,이준익,"박정민,김고은,장항선,고준,신현빈,정규수,김준한,배제기,최정헌,한별,김형주,차순배,신문성,이세랑,이고은,이민섭,이성호,방준석,이승훈,김정현,이재성,이정현,김지성,이현정,이혜원,김진표,김형주,김희주,박수연,박지선,강현구,고유,정호연,차신혜,김민식,최정현,김세겸,김수정,박수연,던밀스,류성현,임성재,백현진","박정민, 김고은, 장항선",2018,True,474137
1115,토이 가디언즈,2018-03-15,114322000,0.0,114322000,14857,14857,136,1017,중국,"중국,프랑스",,(주)팝엔터테인먼트,전체관람가,애니메이션,"신우,황연","박소라,장경희",,2018,True,14857
1116,프리 스테이트,2018-02-07,21110000,0.0,21110000,10541,10541,5,156,미국,미국,,(주)드림팩트엔터테인먼트,15세이상관람가,"액션,전쟁,드라마",게리 로스,"매튜 매커너히,케리 러셀,구구 바샤-로","매튜 매커너히, 케리 러셀, 구구 바샤-로",2018,True,8954
1117,클레어의 카메라,2018-04-25,75238300,0.0,75238300,9424,9424,68,1437,한국,한국,(주)영화제작전원사,"(주)영화제작전원사 ,(주)콘텐츠판다,무브먼트",15세이상관람가,드라마,홍상수,"이자벨 위페르,김민희,장미희,정진영,강태우","이자벨 위페르, 김민희, 장미희",2018,True,9424
1118,샷 콜러,2018-05-04,21625100,0.0,21625100,3147,3147,59,271,미국,미국,,(주)스톰픽쳐스코리아,청소년관람불가,"범죄,액션,스릴러",릭 로먼 워,"니콜라이 코스터 왈도,존 번탈",,2018,True,3021
1119,다이빙벨 그후,2018-05-24,23524000,0.0,23524000,2981,2981,48,415,한국,한국,(주)씨네포트,(주)씨네포트,12세이상관람가,다큐멘터리,이상호,"이용관,김지석,오석근,이종인,송옥숙,고영재,김일권,이상호,이주영,최순실","이용관, 김지석, 오석근",2018,True,2981
1120,신은 죽지 않았다 3: 어둠 속의 빛,2018-07-19,21714500,0.0,21714500,2821,2821,6,25,미국,미국,,"(주)영화사 그램,(재)CBS",12세이상관람가,드라마,마이클 메이슨,"존 코베트,쉐인 하퍼,테드 맥긴리","존 코베트, 쉐인 하퍼, 테드 맥긴리",2018,True,83474
1121,바람의 색,2018-04-05,15363900,0.0,15363900,2001,2001,46,463,일본,일본,,(주)스톰픽쳐스코리아,12세이상관람가,"판타지,멜로/로맨스",곽재용,"후루카와 유우키,후지이 타케미",,2018,True,1812
1122,나와 봄날의 약속,2018-06-28,15009700,0.0,15009700,1999,1999,86,340,한국,한국,(주)마일스톤컴퍼니,씨네그루(주)키다리이엔티,15세이상관람가,"미스터리,판타지",백승빈,"김성균,장영남,강하늘,김학선,이주영,김소희,차순배,강민수,김소희,김우현,김은수,신정민,이서연,이은영,정보람,이설","김성균, 장영남, 강하늘",2018,True,1999
1123,킬링 디어,2018-07-12,13889500,0.0,13889500,1403,1403,6,21,미국,"미국,영국",,오드,청소년관람불가,스릴러,요르고스 란티모스,"콜린 파렐,니콜 키드먼,배리 케오간","콜린 파렐, 니콜 키드먼, 배리 케오간",2018,True,58185
1124,게이트-완결판,2018-06-21,1348000,0.0,1348000,1339,1339,5,36,한국,한국,삼삼공구 브라더스,(주)제이앤씨미디어그룹,15세이상관람가,"범죄,코미디",신재호,"임창정,정려원,정상훈,이경영,이문식","임창정, 정려원, 정상훈",2018,True,1339
1125,오목소녀,2018-05-24,8280800,0.0,8280800,1213,1213,17,317,한국,한국,㈜인디스토리,㈜인디스토리,전체관람가,드라마,백승화,"박세완,안우연,이지원,장햇살,조경현,김정영,공격,김영민,김진아,김화범,김효진,박주희,여영은,이진주,정요한,진종민,황수진,황태성,남진복","박세완, 안우연, 이지원",2018,True,1213
1126,산타모니카 인 러브,2018-05-31,8862600,0.0,8862600,1143,1143,18,150,미국,미국,,(주)더블앤조이픽쳐스,12세이상관람가,"멜로/로맨스,코미디",롭 라이너,"마이클 더글라스,다이안 키튼,스털링 제린스,프란시스 스턴하겐","마이클 더글라스, 다이안 키튼, 스털링 제린스",2018,True,1143
1127,"오늘 밤, 로맨스 극장에서",2018-07-11,7043900,0.0,7043900,835,835,2,5,일본,일본,,(주)디스테이션,전체관람가,"판타지,멜로/로맨스",타케우치 히데키,"아야세 하루카,사카구치 켄타로",,2018,True,34897
