,영화명,개봉일,매출액,매출액점유율,누적매출액,관객수,누적관객수,스크린수,상영횟수,대표국적,국적,제작사,배급사,등급,장르,감독,배우,main_actors,개봉일_int,actor_involved,전국관객수
1443,저니스 엔드,2018-11-28,37714850,0.0,37714850,4861,4861,63,653,영국,영국,,(주)스톰픽쳐스코리아,15세이상관람가,"전쟁,드라마",사울 딥,"샘 클라플린,에이사 버터필드,폴 베타니","샘 클라플린, 에이사 버터필드, 폴 베타니",2018,True,4861
1444,은혼2: 규칙은 깨라고 있는 것,2018-12-13,38632450,0.0,38632450,4574,4574,48,372,일본,일본,,메가박스중앙(주)플러스엠,12세이상관람가,"코미디,액션",후쿠다 유이치,"오구리 슌,스다 마사키,야기라 유야,미우라 하루마","오구리 슌, 스다 마사키, 야기라 유야",2018,True,3698
1445,주먹왕 랄프 2: 인터넷 속으로,2019-01-03,42395000,0.0,42395000,4516,4516,9,20,미국,미국,,월트디즈니컴퍼니코리아 유한책임회사,전체관람가,"애니메이션,어드벤처,코미디,가족",리치 무어,"존 C. 라일리,사라 실버맨,맨디 무어,크리스틴 벨","존 C. 라일리, 사라 실버맨, 맨디 무어",2019,True,1754375
1446,식구,2018-07-12,30175400,0.0,30175400,3816,3816,52,475,한국,한국,동우하 팩토리,"(주)스톰픽쳐스코리아,TCO(주)더콘텐츠온",15세이상관람가,드라마,임영훈,"신정근,윤박,장소연,고나희,고경민,곽민선,권예진,김경옥,김나연,김동규,김동현,김민성,김종호,김지수,박관우,박정미,박정호,박지훈,서민정,오세진,이영수,이자은,이정철,이정훈,이진희,이호성,임동규,임영훈,조태호,최지민,최창규,염동헌,류성현,송은율,김현,박윤호","신정근, 윤박, 장소연",2018,True,3816
1447,봄이가도,2018-09-13,24339700,0.0,24339700,3379,3379,31,487,한국,한국,왕십리픽쳐스,(주)시네마달,12세이상관람가,드라마,"장준엽,진청하,전신환","유재명,전미선,전석호,김혜준,김수진,박지연,정희태,오민애,박지연,김민하","유재명, 전미선, 전석호",2018,True,3379
1448,브레이븐,2018-09-13,16147600,0.0,16147600,2063,2063,56,509,캐나다,캐나다,,글뫼 주식회사,15세이상관람가,"액션,드라마",린 오딩,"제이슨 모모아,스티븐 랭,가렛 딜라헌트","제이슨 모모아, 스티븐 랭, 가렛 딜라헌트",2018,True,2063
1449,인피니티 포스 : 독수리오형제 최후의 심판,2018-10-18,15653800,0.0,15653800,2059,2059,124,432,일본,일본,,와이드 릴리즈(주),전체관람가,애니메이션,마츠모토 준,"박상우,신정훈,오현기,허성재,조연우,방지원,오은수","박상우, 신정훈, 오현기",2018,True,2059
1450,충격과 공포,2018-09-06,12907200,0.0,12907200,1661,1661,78,566,미국,미국,,(주)박수엔터테인먼트,12세이상관람가,드라마,롭 라이너,"밀라 요보비치,제시카 비엘,제임스 마스던,우디 해럴슨,토미 리 존스","밀라 요보비치, 제시카 비엘, 제임스 마스던",2018,True,1489
1451,미래의 미라이,2019-01-16,14724800,0.0,14724800,1571,1571,2,7,일본,일본,,메가박스중앙(주)플러스엠,전체관람가,애니메이션,호소다 마모루,"쿠로키 하루,카미시라이시 모카,야쿠쇼 코지,후쿠야마 마사하루","쿠로키 하루, 카미시라이시 모카, 야쿠쇼 코지",2019,True,104950
1452,언니,2019-01-01,11155000,0.0,11155000,1243,1243,3,6,한국,한국,"필름에이픽쳐스,(유)조이앤시네마","(주)제이앤씨미디어그룹,TCO(주)더콘텐츠온",청소년관람불가,액션,임경택,"이시영,박세완,이준혁,최진호,강민범,류도하,민예지,김강산,박일우,선율우,성승주,성진,박지완,김대근,김대홍,박하랑,배소현,배우진,신철민,신철민,안세하,육효명,윤대근,오현진,윤송아,신철민,공민규,이상훈,홍성호,최원호,김호진,김정팔,이육헌,김준희,이고은,이금주,곽인준,국하은,태정,김기무,김예진,임용순,임주영,김채현,김원해,정수현,조원재,조정환,조정환,이형철,주인서,문수빈,김태윤,문의영,정다향,김원중,정온서,정우리,채화,이자은,정회동,이태광,최인순,연승호,전승희,서윤하,설정환,성유라,홍대영","이시영, 박세완, 이준혁",2019,True,197134
1453,그대 이름은 장미,2019-01-16,13024000,0.0,13024000,1184,1184,4,5,한국,한국,(주)엠씨엠씨,(주)리틀빅픽쳐스,12세이상관람가,코미디,조석현,"유호정,박성웅,오정세,채수빈,하연수,이원근,이지민,이빛나,박대원,남태부,고나희,박상호,박성웅,박용,김기덕,서한결,김나영,박지운,박지운,박지홍,박찬우,김동훈,신영규,안서희,김민중,오성현,김상우,김민종,김서원,오하늬,윤슬,이상미,이주원,최소라,장세현,이선민,이준혁,정혜경,정혜정,이지애,최우식,김정수,최원호,조수연,김정현,이진혁,조제웅,강부현,강성실,지영호,이나현,최현준,김관모,김록경,채현원,김민종,김병귀,이동훈,김태현,김용화,김지원,김준근,김춘기,정여진,한철우,리민,우정국,김우진,유미란,유병용,김우혁,정유나,이은석,윤가현,민찬욱,윤복인,채수아,신담수,정종태,정태윤,이재욱,박소진,박숙명,이태린,김지은,박주언,박준면,최자연,박준태,최종윤,오우진,장태성,어영수,선정찬,송진아,하지찬,황석정","유호정, 박성웅, 오정세",2019,True,88054
1454,가버나움,2019-01-24,6375800,0.0,6375800,627,627,5,11,기타,기타,,"그린나래미디어(주),플레이리스트(주)",15세이상관람가,드라마,나딘 라바키,"자인 알 라피아,요르다노스 시프로우,보루와티프 트레저 반콜,나딘 라바키","자인 알 라피아, 요르다노스 시프로우, 보루와티프 트레저 반콜",2019,True,142065
1455,논-픽션,2019-05-16,5357500,0.0,5357500,608,608,3,18,프랑스,프랑스,,(주)트리플픽쳐스,15세이상관람가,드라마,올리비에 아사야스,"줄리엣 비노쉬,기욤 까네,빈센트 맥케인,노라 함자위,크리스타 테렛","줄리엣 비노쉬, 기욤 까네, 빈센트 맥케인",2019,True,7764
1456,메기,2019-09-26,4310000,0.0,4310000,587,587,1,5,한국,한국,"국가인권위원회,2X9HD","(주)엣나인필름,CGV아트하우스",15세이상관람가,"미스터리,코미디",이옥섭,"이주영,문소리,구교환,동방우,권해효,김꽃비,오희준,박경혜,박강섭,임수형,심달기,박종환,윤정재,던밀스,박길수,천우희,이주영,이옥섭,유지영","이주영, 문소리, 구교환",2019,True,38108
1457,미스터 앤 미스터 대디,2018-11-22,4086800,0.0,4086800,505,505,11,64,미국,미국,,(주)라이크 콘텐츠,15세이상관람가,"코미디,드라마",앤드류 플레밍,"폴 러드,스티브 쿠건,케이트 월쉬,알리슨 필","폴 러드, 스티브 쿠건, 케이트 월쉬",2018,True,505
1458,벌새,2019-08-29,3492500,0.0,3492500,485,485,1,5,한국,한국,에피파니(주),"(주)엣나인필름,(주)콘텐츠판다",15세이상관람가,드라마,김보라,"박지후,김새벽,정인기,이승연,박수연,손용범,박서윤,길해연,손상연,설혜인,송경아,백금옥,엄경희,정원자,한승목,류혁진,원다영,곽다은,오명은,권세빈,조시연,권귀빈,박윤희,박윤희,김미향,안민영,엄윤채,김상호,김소현,김수연,이종윤,최수빈,이선주,정혜영,최원경,김종구,정경섭,조혜빈,윤태희,이현주,이연우,김예지,이예림,김채윤,김지원,김정헌,이춘희,이유진,정윤서,최민서,안진현,임세연,손채연,임혜원,안예은,형영선,박수현","박지후, 김새벽, 정인기",2019,True,143944
1459,아워 바디,2019-09-26,2266700,0.0,2266700,338,338,1,3,한국,한국,한국영화아카데미,(주)영화사 진진,15세이상관람가,드라마,한가람,"최희서,안지혜,이재인,김정영,최준영,노수산나,오동민,금새록,김사권,윤혜리,김연교,장준휘","최희서, 안지혜, 이재인",2019,True,8683
1460,극장판 공룡메카드: 타이니소어의 섬,2019-01-10,1278000,0.0,1278000,142,142,1,1,한국,한국,(주)초이락컨텐츠팩토리,(주)넥스트엔터테인먼트월드(NEW),전체관람가,애니메이션,"최신규,유재운","김서영,엄상현,안현서,김장,홍범기,양정화,여민정,이장원,한신,서유리,정선혜,소정환,김은아,민승우,심규혁,정혜원,홍진욱,김장,안현서,양정화","김서영, 엄상현, 안현서",2019,True,410131
1461,칠곡 가시나들,2019-02-27,550000,0.0,550000,93,93,1,2,한국,한국,주식회사 단유필름,"(주)인디플러그,(주)더 피플",전체관람가,다큐멘터리,김재환,"박금분,곽두조,강금연,안윤선,박월선,김두선,이원순,박복형,주석희,박근붐","박금분, 곽두조, 강금연",2019,True,41448
1462,마왕의 딸 이리샤,2019-09-26,408000,0.0,408000,62,62,1,2,한국,한국,"한국영화아카데미,(주)지금이 아니면 안돼","(주)싸이더스,(주)삼백상회",전체관람가,애니메이션,장형윤,"천우희,심희섭,김일우,이영기,김준배","천우희, 심희섭, 김일우",2019,True,15894
1463,구스 베이비,2019-01-16,540000,0.0,540000,60,60,1,2,미국,미국,,(주)이수C&E,전체관람가,"애니메이션,어드벤처,코미디",크리스토퍼 젠킨스,"전현무,유아,박성광,짐 개피건,젠다야 콜맨,랜스 임,레지 와츠","전현무, 유아, 박성광",2019,True,91430
1464,어쌔신네이션,2018-11-06,29000,0.0,29000,29,29,4,29,미국,미국,,(주)케이알씨지,15세이상관람가,"코미디,범죄",브렛 사이먼,"브루스 윌리스,미샤 바튼,리스 톰슨","브루스 윌리스, 미샤 바튼, 리스 톰슨",2018,True,29
1465,네 얼간이와 장례식,2018-10-04,5000,0.0,5000,1,1,1,1,호주,호주,,㈜코리아스크린,15세이상관람가,코미디,마크 램프렐,"데이커 몽고메리,자비에르 사무엘,크리스 마셜","데이커 몽고메리, 자비에르 사무엘, 크리스 마셜",2018,True,1
1466,드래곤 블레이드: 천장웅사,2018-12-20,1000,0.0,1000,1,1,1,1,홍콩,홍콩,,(주)케이알씨지,15세이상관람가,"액션,드라마,어드벤처",이인항,"성룡,존 쿠삭,애드리언 브로디","성룡, 존 쿠삭, 애드리언 브로디",2018,True,1
1467,크리미널 체이스,2018-12-04,1000,0.0,1000,1,1,1,1,미국,미국,,제인앤유,15세이상관람가,"액션,스릴러",브라이언 A 밀러,"브루스 윌리스,프랭크 그릴로,조나슨 스캐치","브루스 윌리스, 프랭크 그릴로, 조나슨 스캐치",2018,True,1
1468,히어로 오브 워,2018-09-02,1000,0.0,1000,1,1,1,1,중국,"중국,홍콩,미국",,(유)조이앤시네마,15세이상관람가,드라마,"세기연,마이클 파커","조셉 파인즈,브루스 록,두효","조셉 파인즈, 브루스 록, 두효",2018,True,1
1469,극한직업,2019-01-23,139639783516,0.15,139639783516,16263360,16263360,2003,292554,한국,한국,"(주)어바웃필름,영화사 해그림 주식회사,씨제이이앤엠(주)",씨제이이앤엠(주),15세이상관람가,코미디,이병헌,"류승룡,이하늬,진선규,이동휘,공명,양현민,장진희,한준우,김명준,나철,정재광,정원창,김강현,김지영,오정세,이중옥,홍완표,고봉구,권지훈,권태호,김가빈,박재홍,서호철,김남우,박진아,송영규,안성봉,신하균,심철민,김병호,유제윤,김성우,이정수,김의성,김종수,고경진,고관형,이광기,지찬,구성환,진선규,이도용,천준호,정성훈,이하늬,이한종,임세운,한동희,임정묵,이범찬,이운산,김천,조주한,조현숙,이유진,정우영,신신애,윤설,정윤회,박도영,정재광,최광원,이두일,김윤배,최신득,이왕수,이육현,박정표,정인기,배정선,장지웅,임유란,엄지혜,오민준,태원석,장격수,편광진,하철,변봉식,홍승진,홍은진,허준석","류승룡, 이하늬, 진선규",2019,True,16263360
1470,어벤져스: 엔드게임,2019-04-24,122048514200,0.131,122048514200,13918759,13918759,2835,241499,미국,미국,,월트디즈니컴퍼니코리아 유한책임회사,12세이상관람가,"액션,SF","안소니 루소,조 루소","로버트 다우니 주니어,크리스 에반스,마크 러팔로,크리스 헴스워스,스칼렛 요한슨,제레미 레너,돈 치들,폴 러드,브리 라슨,카렌 길런,브래들리 쿠퍼,조슈 브롤린","로버트 다우니 주니어, 크리스 에반스, 마크 러팔로",2019,True,13918759
1471,기생충,2019-05-30,81862071185,0.08800000000000001,81862071185,9577981,9577981,1948,174562,한국,한국,(주)바른손이앤에이,씨제이이앤엠(주),15세이상관람가,드라마,봉준호,"송강호,이선균,조여정,최우식,박소담,이정은,장혜진,박명훈,현승민,정현준,윤혜리,박근록,이시훈,김규백,설민,박가빈,정이서,조재명,정익한,안진상,이루아,김하언,하윤희,이도운,오별하,유인,유채련,정일화,지혜영,지연,최정연,서복현,심수미,장지우,한미자,주수지,강현규,고관재,박서준,곽신애,류영훈,문상근,김건,박재완,서한결,서희영,손지영,박혜숙,백동현,신승민,백승환,안성봉,염재민,오상준,오상준,김성수,김성준,김세인,윤영우,정재훈,김이슬,이종현,이주형,제승현,김혜련,김정우,이지혜,황인경,최지원,이덕형,이시은,김영조,이도용,김보령,김용각,정세현,이옥희,김향배,이상경,정아름,이은희,이인경,박미애,김진형,이시후,박재욱,양선영,장예원,최정현","송강호, 이선균, 조여정",2019,True,9577981
1472,캡틴 마블,2019-03-06,51491272223,0.055,51491272223,5801069,5801069,2100,185978,미국,미국,,월트디즈니컴퍼니코리아 유한책임회사,12세이상관람가,"액션,어드벤처,SF","애너 보든,라이언 플렉","브리 라슨,사무엘 L. 잭슨,벤 멘델슨,주드 로","브리 라슨, 사무엘 L. 잭슨, 벤 멘델슨",2019,True,5801069
1473,악인전,2019-05-15,29118314670,0.031,29118314670,3362132,3362132,1307,97253,한국,한국,(주)비에이엔터테인먼트,"(주)에이스메이커무비웍스,(주)키위미디어그룹",청소년관람불가,"범죄,액션",이원태,"마동석,김무열,김성규,문동혁,오희준,민무제,문순주,김근영,전배수,유재명,이서환,신희철,강문봉,남승화,박보경,공민규,공성하,곽최산,권혁,김결,서문호,김규리,김근영,김동민,배경민,김명희,백수진,백승민,신영선,안성봉,신하준,20337505,김민준,유승목,유승목,유재명,김보경,오상준,오상준,오현석,윤영균,임효진,김이현,최민철,최선영,정지훈,이상희,김재영,김건,김정석,이성훈,류성현,이소진,황보정일,이육헌,황인성,김승현,윤현주,정미경,강수빈,강영택,김준영,권다솜,이승현,차순배,이승훈,권정우,권혁일,이도군,김진옥,이동기,표성수,이동욱,이동준,이영아,한상철,조승국,한지아,류태호,우상전,우원규,김우림,유용국,이은샘,민경수,정유선,정여루,신기록,이재은,김윤성,안민하,이성일,박은보,이유선,배진호,양지수,최현경,배민준,염미선,전시현,장선정,성주원,허동원","마동석, 김무열, 김성규",2019,True,3361851
1474,증인,2019-02-13,20477262331,0.022,20477262331,2534075,2534075,1047,89556,한국,한국,"(주)무비락,(주)도서관옆스튜디오",롯데컬처웍스(주)롯데엔터테인먼트,12세이상관람가,드라마,이한,"정우성,김향기,이규형,염혜란,장영남,정원중,김종수,박근형,송윤아,이준혁,이레,김승욱,오재세,이채은,이서준,이서환,강민지,강지현,박세정,권혁준,김경훈,박재환,박주은,박준호,박찬영,송우용,김미진,안성봉,신치영,신혜정,김범석,오창경,김소연,김수경,이준형,장효석,김정연,김호연,조성재,김홍식,최은영,최종률,이슬이,정도원,정명훈,조한나,이승헌,강은수,고민지,곽나현,권정은,김규인,김난영,표예리,김바비,이동훈,김학선,이영아,김승윤,이민정,조복휘,김인규,김준원,정승욱,도현,김형묵,정영록,남혜진,김태현,정우성,문승배,정경현,이은샘,채치웅,윤정환,박미정,이종익,최문익,심은정,이석환,박윤근,박은우,엄주원,박창화,엄혜란,배내희,손제형,추귀정,염지영,장부익,장선아,서광재,한윤지,한재경","정우성, 김향기, 이규형",2019,True,2516128
1475,사바하,2019-02-20,20007508194,0.021,20007508194,2398519,2398519,1174,78094,한국,한국,"(주)외유내강,(주)필름케이",씨제이이앤엠(주),15세이상관람가,"미스터리,스릴러",장재현,"이정재,박정민,이재인,유지태,정진영,진선규,이다윗,배해선,차래형,황정민,김근영,윤경호,지승현,이항나,정동환,문창길,오윤홍,문숙,강나영,김두은,김유린,김지후,조수지,신보경,정병두,이재순,배선엽,곽영신,유승희,장지민,정혜은,강우진,윤창희,김근우,이치민,하승협,권해성,손병우,박상협,김찬빈,한유한,이월진,박재만,박영래,이광석,한형주,류현주,손연서,유선이,강민재,남도현,강성철,강지현,류경인,권귀빈,박수미,권오준,민설애,김가은,김근영,김금순,박종범,설시연,박지윤,박지윤,박지환,박진영,박훈,김명희,백승철,신유진,안성진,안현빈,김범수,오누리,노유림,옥영진,옥주리,김소숙,강민지,임현주,이상우,정재은,임효진,김현정,이주실,허다정,이준구,정한호,장영애,권태호,김홍파,김정훈,조한준,이문석,이수정,김승현,황인준,정미경,조한아름,조한준,이건창,김지수,진선규,정서인,차순배,권해성,이대현,김진옥,표성수,표예리,한다경,이한울,이한울,김태윤,이은주,김유나,이재진,장희욱","이정재, 박정민, 이재인",2019,True,2397792
1476,토이 스토리 4,2019-06-20,19256145350,0.021,19256145350,2251096,2251096,1336,51040,미국,미국,,월트디즈니컴퍼니코리아 유한책임회사,전체관람가,"애니메이션,어드벤처,코미디",조시 쿨리,"톰 행크스,팀 알렌,애니 팟츠,토니 헤일,키아누 리브스,조앤 쿠삭","톰 행크스, 팀 알렌, 애니 팟츠",2019,True,2251096
1477,뺑반,2019-01-30,15222811848,0.016,15222811848,1826714,1826714,1285,47213,한국,한국,"호두앤유픽쳐스(주),(주)쇼박스",(주)쇼박스,15세이상관람가,"범죄,액션",한준희,"공효진,류준열,조정석,염정아,전혜진,손석구,김기범,이학주,정수지,배유람,이성욱,류경수,김고은,차래형,박형수,박예영,나철,이해운,임선우,한명수,김태겸,양한슬,하성민,공찬호,강태영,한이진,정수교,고은민,전광진,승형배,황준호,한유열,박재광,오태근,이일현,황규인,오혜금,임정인,최윤민,노도현,선학,양지일,최세용,장현동,천샘,서성금,박성하,박경현,유민상,송준근,정해철,홍현호,김회경,박경근,공성하,권혁,권혁준,박윤희,박윤희,박주한,박준희,김대근,김대한,박현,송요셉,배우진,신재영,신주환,안대웅,안성봉,안현빈,안혜성,유연수,이종재,최성환,김재원,장준현,이성교,이성민,이세진,이소진,김흥태,황보정일,조유진,전호용,황윤성,이창선,정규연,이순자,김주영,이가경,김양수,김여진,조홍우,김지수,임준혁,김영,이남경,이대광,이도국,김진옥,김영준,김한석,하민,이명자,한대훈,김지환,김태현,정용주,정원형,김윤배","공효진, 류준열, 조정석",2019,True,1826714
1478,걸캅스,2019-05-09,13803627134,0.015,13803627134,1628290,1628290,973,63146,한국,한국,필름모멘텀,씨제이이앤엠(주),15세이상관람가,"코미디,액션",정다원,"라미란,이성경,윤상현,최수영,염혜란,위하준,주우재,강홍석,김도완,이정민,신현숙,이레,조혜주,배유람,임현성,안재홍,한수현,조병규,강문봉,강성하,곽민석,박소은,서석규,서성현,김광섭,옥자연,성동일,소희정,백승환,김미지,김민경,안대웅,안성봉,여이레,오상준,오상준,오성현,오세환,김성균,오하늬,김성종,김송이,최예림,이성규,김정교,조미라,조서진,김정현,전소영,김승아,이진성,황필규,황필성,김신우,최준영,이가희,김준,강신하,김지나,이금용,이기원,김지유,이승훈,최혜진,김한상,김병남,하정우,이영아,김세진,김태준,이확광,임예은,한수연,조예진,김용진,김춘심,김해정,류대산,나대남,위하준,노승은,이윤희,정두원,이은숙,정세인,김철환,김찬희,윤현길,신한숙,이도연,최병윤,김진욱,이문빈,심희진,이선정,안창환,이의수,전석호,여시현,여은지,여은지,임현철,오성미,설창희,하연희,송지혁,한건희,임범용,황이현,박두희,허단비","라미란, 이성경, 윤상현",2019,True,1624364
1479,드래곤 길들이기 3,2019-01-30,12340610576,0.013,12340610576,1506942,1506942,971,42322,미국,미국,,유니버설픽쳐스인터내셔널 코리아(유),전체관람가,애니메이션,딘 데블로이스,"제이 바루첼,아메리카 페레라,케이트 블란쳇,킷 해링턴,크레이그 퍼거슨,F. 머레이 아브라함","제이 바루첼, 아메리카 페레라, 케이트 블란쳇",2019,True,1506942
1480,어스,2019-03-27,12586771104,0.014,12586771104,1475087,1475087,1132,58522,미국,미국,,유니버설픽쳐스인터내셔널 코리아(유),15세이상관람가,"공포(호러),스릴러",조던 필,"루피타 뇽,윈스턴 듀크,엘리자베스 모스,팀 헤이데커,야히아 압둘 마틴 2세,애나 디옵,에반 알렉스,샤하디 라이트 조셉,매디슨 커리,칼리 쉘든,노엘 쉘든,카라 헤이워드","루피타 뇽, 윈스턴 듀크, 엘리자베스 모스",2019,True,1475087
1481,나의 특별한 형제,2019-05-01,12055118074,0.013,12055118074,1473991,1473991,936,49892,한국,한국,"(주)명필름,(주)조이래빗",(주)넥스트엔터테인먼트월드(NEW),12세이상관람가,"드라마,코미디",육상효,"신하균,이광수,이솜,박철민,권해효,길해연,양소민,배명진,김자영,김한나,양조아,김기천,고봉구,김경남,송철호,박정훈,서지원,김동훈,신안진,신안진,김민석,안지호,우지현,우지현,오세은,김서원,김현빈,이선주,김희창,윤정로,김승태,강은아,김중기,고현준,이채은,이호원,목규리,김태완,정유민,최광일,이도엽,김윤호,연승빈,전채원,서희,선종남,한경원,한별","신하균, 이광수, 이솜",2019,True,1437648
1482,항거:유관순 이야기,2019-02-27,9289243101,0.01,9289243101,1157583,1157583,1094,46154,한국,한국,(주)디씨지플러스,롯데컬처웍스(주)롯데엔터테인먼트,12세이상관람가,드라마,조민호,"고아성,김새벽,김예은,정하담,류경수,최무성,하성광,류성민,권현진,김경록,김남진,박지원,박찬우,배향,김명,신영주,신하준,신현진,오상무,오지영,임한빈,김은희,최미라,장민영,최성윤,김현호,정효정,이성원,김정원,조아라,이수연,김신영,율찬,강시후,김연정,강왕수,고병택,김지성,공정현,권다솜,김영은,이영석,김아송,정소영,나누리,노승범,정교,진호은,윤상돈,채송화,윤예솔,정하담,심태영,이형원,이효린,최일순,임영혜,임유정,임윤진,박한마,임자혜,송용기,하진","고아성, 김새벽, 김예은",2019,True,1157583
1483,롱 리브 더 킹: 목포 영웅,2019-06-19,8689778160,0.009000000000000001,8689778160,1024456,1024456,965,34115,한국,한국,"(주)영화사 필름몬스터,(주)비에이엔터테인먼트","메가박스중앙(주)플러스엠,(주)콘텐츠 난다긴다",15세이상관람가,"액션,드라마",강윤성,"김래원,원진아,진선규,최귀화,최무성,주진모,장지건,정원중,이성우,김홍표,민무제,김동현,차엽,남승화,노진영,마동석,길해연,박용,서문호,서영민,김귀선,박주운,김동민,신미영,배해선,신용욱,신혜경,안지혜,유희제,윤계상,김서현,윤병희,김수안,윤재인,임효진,공태원,이선영,홍범기,김형욱,조미초,홍지석,홍진기,차우진,이찬수,황인성,정기용,김승희,김시윤,정동훈,조한나,주영호,이기창,진선규,차민경,금광산,이도군,김구택,김대흥,이동철,하수호,김보정,김필,이용이,정수연,정수현,한상철,이병수,정시후,남상덕,주진무,남택근,문정환,진모,유태근,유태선,정선철,정수원,정윤성,민지호,정승균,정은경,신영옥,신용선,이규호,정환욱,박수지,김지은,이원민,이은미,최재환,배송이,박찬양,박천국,최지호,임철영,임형섭,임형준,장덕출,송욱경,장유빈,송해구,홍이주,황정인,홍기준","김래원, 원진아, 진선규",2019,True,1022790
1484,엑스맨: 다크 피닉스,2019-06-05,7644198640,0.008,7644198640,862203,862203,991,29383,미국,미국,,이십세기폭스코리아(주),12세이상관람가,"액션,어드벤처,SF",사이먼 킨버그,"제임스 맥어보이,마이클 패스벤더,제니퍼 로렌스,니콜라스 홀트,소피 터너,타이 쉐리던,에반 피터스,제시카 차스테인","제임스 맥어보이, 마이클 패스벤더, 제니퍼 로렌스",2019,True,862203
1485,맨 인 블랙: 인터내셔널,2019-06-12,7406282720,0.008,7406282720,843703,843703,1151,39916,미국,미국,,롯데컬처웍스(주)롯데엔터테인먼트,12세이상관람가,"액션,코미디,SF",F. 게리 그레이,"크리스 헴스워스,테사 톰슨,리암 니슨,엠마 톰슨","크리스 헴스워스, 테사 톰슨, 리암 니슨",2019,True,843703
1486,뽀로로 극장판 보물섬 대모험,2019-04-25,5879651200,0.006,5879651200,765595,765595,797,20037,한국,한국,(주)오콘,(주)넥스트엔터테인먼트월드(NEW),전체관람가,"애니메이션,가족","김현호,윤창섭,김현호","이선,이미자,김현지,홍소영,정미숙,김서영,김환진,남도형,정승욱,이장원,황창영,김환진,남도형,황창영","이선, 이미자, 김현지",2019,True,765595
1487,명탐정 피카츄,2019-05-09,5730788546,0.006,5730788546,686809,686809,817,25776,미국,미국,,워너브러더스 코리아(주),전체관람가,"액션,어드벤처,코미디",롭 레터맨,"라이언 레이놀즈,저스티스 스미스,캐서린 뉴튼,수키 워터하우스,빌 나이,와타나베 켄","라이언 레이놀즈, 저스티스 스미스, 캐서린 뉴튼",2019,True,686809
1488,존 윅 3: 파라벨룸,2019-06-26,5789036442,0.006,5789036442,676161,676161,849,15167,미국,미국,,"TCO(주)더콘텐츠온,(주)제이앤씨미디어그룹",청소년관람불가,"액션,범죄,스릴러",채드 스타헬스키,"키아누 리브스,할리 베리,로렌스 피쉬번,이안 맥쉐인","키아누 리브스, 할리 베리, 로렌스 피쉬번",2019,True,676161
1489,극장판 헬로카봇: 옴파로스 섬의 비밀,2019-01-31,4485905140,0.005,4485905140,575353,575353,752,15826,한국,한국,(주)초이락컨텐츠팩토리,(주)넥스트엔터테인먼트월드(NEW),전체관람가,애니메이션,"최신규,김진철","이지현,김용준,양정화,사문영,홍범기,이현,시영준,엄상현,임정길,서윤선,시영준,홍범기,김용준","이지현, 김용준, 양정화",2019,True,575353
1490,이스케이프 룸,2019-03-14,5007420664,0.005,5007420664,563114,563114,850,29219,미국,미국,,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,15세이상관람가,"액션,공포(호러),스릴러",애덤 로비텔,"테일러 러셀,로건 밀러,제이 엘리스,타일러 라빈,데보라 앤 월,닉 도다니","테일러 러셀, 로건 밀러, 제이 엘리스",2019,True,563114
1491,글래스,2019-01-17,4277452982,0.005,4277452982,466475,466475,837,24194,미국,미국,,월트디즈니컴퍼니코리아 유한책임회사,15세이상관람가,"드라마,미스터리,SF,스릴러",M. 나이트 샤말란,"제임스 맥어보이,브루스 윌리스,사무엘 L. 잭슨,안야 테일러 조이,사라 폴슨","제임스 맥어보이, 브루스 윌리스, 사무엘 L. 잭슨",2019,True,466475
1492,고질라: 킹 오브 몬스터,2019-05-29,3074785318,0.003,3074785318,357902,357902,923,15863,미국,미국,,워너브러더스 코리아(주),12세이상관람가,"액션,어드벤처,SF",마이클 도허티,"밀리 바비 브라운,베라 파미가,카일 챈들러,샐리 호킨스,와타나베 켄,장쯔이","밀리 바비 브라운, 베라 파미가, 카일 챈들러",2019,True,357902
1493,덤보,2019-03-27,2775096512,0.003,2775096512,345521,345521,797,17627,미국,미국,,월트디즈니컴퍼니코리아 유한책임회사,전체관람가,"가족,판타지",팀 버튼,"콜린 파렐,마이클 키튼,대니 드비토,에바 그린","콜린 파렐, 마이클 키튼, 대니 드비토",2019,True,345521
1494,헬보이,2019-04-10,2776406321,0.003,2776406321,323098,323098,726,26506,미국,미국,,메가박스중앙(주)플러스엠,청소년관람불가,"액션,어드벤처,판타지",닐 마샬,"데이빗 하버,밀라 요보비치,이안 맥쉐인,대니얼 대 킴","데이빗 하버, 밀라 요보비치, 이안 맥쉐인",2019,True,323098
1495,애나벨 집으로,2019-06-26,2439165690,0.003,2439165690,291328,291328,653,9095,미국,미국,,워너브러더스 코리아(주),15세이상관람가,"공포(호러),미스터리,스릴러",게리 도버먼,"패트릭 윌슨,베라 파미가,맥케나 그레이스,매디슨 아이스먼","패트릭 윌슨, 베라 파미가, 맥케나 그레이스",2019,True,291328
