,title,director,producer,importer,distributor,distributor_group,release_date,release_season,release,form,nation,screen,rev_nationwide,aud_nationwide,rev_seoul,rev_seoul.1,genre,rate,type,expert_rating,starring_actors,running_times,audience_rating,rating_audiences,realease_year,director_power,director_movie_num,sequel,original,actor_power
41,호빗: 다섯 군대 전투,피터 잭슨,,워너브러더스 코리아(주),워너브러더스 코리아(주),B,12/17/2014,winter,개봉영화,장편,미국,926,2840004341.0,326887,1007967441,104765,어드벤처,12세이상관람가,일반영화,6.42,"마틴 프리먼,이안 맥켈런,리처드 아미티지",144,8.620253165,1185,2014,7230889.0,1 [1],1,1,46958275
42,스폰지밥 3D,폴 티비트,,씨제이이앤엠(주),씨제이이앤엠(주),A,2/18/2015,winter,개봉영화,장편,미국,357,2458946200.0,325016,512218000,65131,애니메이션,전체관람가,일반영화,5.5,"전태열,이인성,안토니오 반데라스",92,7.947826087,345,2015,325016.0,1 [1],1,0,6953074
43,주피터 어센딩,"라나 워쇼스키,릴리 워쇼스키",,워너브러더스 코리아(주),워너브러더스 코리아(주),B,2/5/2015,winter,개봉영화,장편,미국,561,2685741879.0,309729,832233679,89787,SF,12세이상관람가,일반영화,4.75,"밀라 쿠니스,채닝 테이텀,숀 빈",127,6.739495797999999,119,2015,2276400.0,"2 [1, 1]",0,0,3866377
44,패딩턴,폴 킹,,(주)누리픽쳐스,롯데쇼핑㈜롯데엔터테인먼트,A,1/7/2015,winter,개봉영화,장편,영국,408,2246424729.0,305100,646094129,84276,코미디,전체관람가,일반영화,6.64,"벤 위쇼,니콜 키드먼,휴 보네빌",95,8.754716981,265,2015,946106.0,2 [2],1,0,63794742
45,오즈의 마법사: 돌아온 도로시,"윌 핀,댄 세인트 피에르",,㈜코리아스크린,(주)박수엔터테인먼트,D,2/12/2015,winter,개봉영화,장편,미국,330,2175321000.0,298298,518209900,68014,애니메이션,전체관람가,독립/예술영화,6.0,"박지윤,김하영,신용우",91,8.049382716,162,2015,894894.0,"2 [1, 1]",1,0,9482165
46,런 올 나이트,자움 콜렛 세라,,워너브러더스 코리아(주),워너브러더스 코리아(주),B,3/19/2015,spring,개봉영화,장편,미국,411,2293671495.0,289534,623115595,76106,액션,청소년관람불가,일반영화,5.94,"리암 니슨,조엘 킨나만,에드 해리스",114,8.026086957,115,2015,6093136.0,3 [3],0,0,99965637
47,다이노 타임,"최윤석,존 카프카",주식회사 토이온,,씨제이이앤엠(주),A,4/30/2015,spring,개봉영화,장편,한국,430,2099627100.0,283292,405724600,52818,애니메이션,전체관람가,일반영화,0.0,"멜라니 그리피스,제인 린치,윌리암 볼드윈",85,8.539370079,254,2015,849876.0,"2 [1, 1]",0,0,4925210
48,인서전트,로베르트 슈벤트케,,(유)조이앤컨텐츠그룹,롯데쇼핑㈜롯데엔터테인먼트,A,3/25/2015,spring,개봉영화,장편,미국,480,2158449889.0,282662,650066489,81654,SF,15세이상관람가,일반영화,5.0,"쉐일린 우들리,테오 제임스,케이트 윈슬렛",119,7.433962264,159,2015,871786.0,2 [2],1,1,21542765
49,소수의견,김성제,(주)하리마오픽쳐스,,(주)시네마서비스,D,6/24/2015,summer,개봉영화,장편,한국,398,2015282936.0,268255,692212236,90111,드라마,15세이상관람가,일반영화,7.18,"윤계상,유해진,김옥빈",126,9.085,200,2015,268255.0,1 [1],1,0,575085503
50,백 투 더 비기닝,딘 이스라엘리트,,롯데쇼핑㈜롯데엔터테인먼트,롯데쇼핑㈜롯데엔터테인먼트,A,2/26/2015,winter,개봉영화,장편,미국,423,2016298400.0,266389,586021800,74127,SF,15세이상관람가,일반영화,4.0,"조니 웨스턴,소피아 블랙 디엘리아,샘 러너",106,7.68907563,119,2015,605273.0,2 [2],0,0,1598334
