title,director,producer,importer,distributor,distributor_group,release_date,release_season,release,form,nation,screen,rev_nationwide,aud_nationwide,rev_seoul,rev_seoul,genre,rate,type,expert_rating,starring_actors,running_times,audience_rating,rating_audiences,realease_year,director_power,director_movie_num,sequel,original
홈,팀 존슨,,씨제이이앤엠(주),씨제이이앤엠(주),A,5/21/2015,spring,개봉영화,장편,미국,532,2691338791,360445,649663691,83379,애니메이션,전체관람가,일반영화,6.56,"짐 파슨스, 리아나, 제니퍼 로페즈",94,8.260869565,207,2015,360445,1 [1],0,0
경성학교: 사라진 소녀들,이해영,"청년필름(주),비밀의화원",,롯데쇼핑㈜롯데엔터테인먼트,A,6/18/2015,summer,개봉영화,장편,한국,489,2710740700,351208,715075900,88741,미스터리,15세이상관람가,일반영화,6.75,"박보영(주란), 엄지원(교장), 박소담(연덕)",99,6.721088435,294,2015,11416716,3 [3],0,0
아메리칸 스나이퍼,클린트 이스트우드,,워너브러더스 코리아(주),워너브러더스 코리아(주),B,1/14/2015,winter,개봉영화,장편,미국,308,2800001438,344766,1052863738,126890,액션,청소년관람불가,일반영화,7.25,"브래들리 쿠퍼(크리스 카일), 시에나 밀러(타야), 제이크 맥더맨",132,8.669902913,206,2015,1943736,3 [3],1,0
호빗: 다섯 군대 전투,피터 잭슨,,워너브러더스 코리아(주),워너브러더스 코리아(주),B,12/17/2014,winter,개봉영화,장편,미국,926,2840004341,326887,1007967441,104765,어드벤처,12세이상관람가,일반영화,6.42,"마틴 프리먼(빌보 배긴스), 이안 맥켈런(간달프), 리처드 아미티지(소린 오큰실드)",144,8.620253165,1185,2014,7230889,1 [1],1,1
스폰지밥 3D,폴 티비트,,씨제이이앤엠(주),씨제이이앤엠(주),A,2/18/2015,winter,개봉영화,장편,미국,357,2458946200,325016,512218000,65131,애니메이션,전체관람가,일반영화,5.5,"전태열(스폰지밥), 이인성(뚱이), 안토니오 반데라스",92,7.947826087,345,2015,325016,1 [1],1,0
주피터 어센딩,"라나 워쇼스키,릴리 워쇼스키",,워너브러더스 코리아(주),워너브러더스 코리아(주),B,2/5/2015,winter,개봉영화,장편,미국,561,2685741879,309729,832233679,89787,SF,12세이상관람가,일반영화,4.75,"밀라 쿠니스(주피터 존스), 채닝 테이텀(케인), 숀 빈(스팅어)",127,6.739495798,119,2015,2276400,"2 [1, 1]",0,0
패딩턴,폴 킹,,(주)누리픽쳐스,롯데쇼핑㈜롯데엔터테인먼트,A,1/7/2015,winter,개봉영화,장편,영국,408,2246424729,305100,646094129,84276,코미디,전체관람가,일반영화,6.64,"벤 위쇼, 니콜 키드먼, 휴 보네빌",95,8.754716981,265,2015,946106,2 [2],1,0
오즈의 마법사: 돌아온 도로시,"윌 핀,댄 세인트 피에르",,㈜코리아스크린,(주)박수엔터테인먼트,D,2/12/2015,winter,개봉영화,장편,미국,330,2175321000,298298,518209900,68014,애니메이션,전체관람가,독립/예술영화,6,"박지윤(도로시 한국어 목소리), 김하영(공주 한국어 목소리), 신용우(제스터 한국어 목소리)",91,8.049382716,162,2015,894894,"2 [1, 1]",1,0
런 올 나이트,자움 콜렛 세라,,워너브러더스 코리아(주),워너브러더스 코리아(주),B,3/19/2015,spring,개봉영화,장편,미국,411,2293671495,289534,623115595,76106,액션,청소년관람불가,일반영화,5.94,"리암 니슨(지미), 조엘 킨나만(마이클), 에드 해리스(숀)",114,8.026086957,115,2015,6093136,3 [3],0,0
다이노 타임,"최윤석,존 카프카",주식회사 토이온,,씨제이이앤엠(주),A,4/30/2015,spring,개봉영화,장편,한국,430,2099627100,283292,405724600,52818,애니메이션,전체관람가,일반영화,0,"멜라니 그리피스(타이라(다이노맘) 목소리), 제인 린치(수(엄마) 목소리), 윌리암 볼드윈(사르코형제 목소리)",85,8.539370079,254,2015,849876,"2 [1, 1]",0,0
인서전트,로베르트 슈벤트케,,(유)조이앤컨텐츠그룹,롯데쇼핑㈜롯데엔터테인먼트,A,3/25/2015,spring,개봉영화,장편,미국,480,2158449889,282662,650066489,81654,SF,15세이상관람가,일반영화,5,"쉐일린 우들리(트리스), 테오 제임스(포), 케이트 윈슬렛(제닌)",119,7.433962264,159,2015,871786,2 [2],1,1
소수의견,김성제,(주)하리마오픽쳐스,,(주)시네마서비스,D,6/24/2015,summer,개봉영화,장편,한국,398,2015282936,268255,692212236,90111,드라마,15세이상관람가,일반영화,7.18,"윤계상(진원), 유해진(대석), 김옥빈(수경)",126,9.085,200,2015,268255,1 [1],1,0
백 투 더 비기닝,딘 이스라엘리트,,롯데쇼핑㈜롯데엔터테인먼트,롯데쇼핑㈜롯데엔터테인먼트,A,2/26/2015,winter,개봉영화,장편,미국,423,2016298400,266389,586021800,74127,SF,15세이상관람가,일반영화,4,"조니 웨스턴(데이비드), 소피아 블랙 디엘리아(제시), 샘 러너(퀸 골드버그)",106,7.68907563,119,2015,605273,2 [2],0,0
투모로우랜드,브래드 버드,월트 디즈니 픽쳐스,월트디즈니컴퍼니코리아(주),월트디즈니컴퍼니코리아(주),B,5/27/2015,spring,개봉영화,장편,미국,435,2082869000,265744,682335600,83016,액션,12세이상관람가,일반영화,5.5,"조지 클루니(프랭크 워커), 휴 로리(데이비드 닉스), 브릿 로버트슨(케이시 뉴튼)",129,7.915384615,130,2015,3564540,2 [2],0,0
개를 훔치는 완벽한 방법,김성호,(주)삼거리픽쳐스,,"(주)리틀빅픽쳐스,(주)대명문화공장",D,12/31/2014,winter,개봉영화,장편,한국,205,2018597565,262943,667976565,84221,드라마,전체관람가,독립/예술영화,7.04,"이레(지소), 이지원(채랑), 홍은택(지석)",109,8.664556962,158,2014,536514,1 [1],1,0
