,title,director,distributor,distributor_group,release_date,release_season,release,form,nation,screen,rev_nationwide,rev_seoul,rev_seoul.1,genre,rate,type,expert_rating,starring_actors,running_times,audience_rating,rating_audiences,realease_year,director_power,sequel,original,actor_power,director_count,director_movie_count,actor_movie_count,before_news,after_news,holiday,dist_cat
340,서울역,연상호,(주)넥스트엔터테인먼트월드(NEW),C,20160817,summer,개봉영화,장편,한국,440,1157200562.0,364877762,44396,애니메이션,15세이상관람가,독립/예술영화,6.92,"류승룡,심은경,이준",93,5.224334601,263,2016,21864,1,1,43424129,1,1,8,709,331,0,A
13,오늘의 연애,박진표,씨제이이앤엠(주),A,20150114,winter,개봉영화,장편,한국,709,14924654487.0,3951958987,480061,멜로/로맨스,15세이상관람가,일반영화,4.0,"이승기,문채원,이서진",118,8.060514372,661,2015,0,0,0,23350,1,0,1,2202,1131,0,A
227,계춘할망,창,(주)콘텐츠 난다긴다,D,20160519,spring,개봉영화,장편,한국,526,3565007348.0,848101748,109124,드라마,15세이상관람가,일반영화,6.16,"윤여정,김고은",116,8.732394366,355,2016,2841628,0,0,632878,1,1,4,298,426,0,C
841,82년생 김지영,김도영,롯데컬처웍스(주)롯데엔터테인먼트,A,20191023,autumn,개봉영화,장편,한국,1486,30298542310.0,8396050370,994663,드라마,12세이상관람가,일반영화,6.79,"정유미,공유",118,9.485499463,931,2019,0,0,1,32388174,1,0,8,708,1811,0,A
318,인페르노,론 하워드,유니버설픽쳐스인터내셔널 코리아(유),B,20161019,autumn,개봉영화,장편,미국,754,5656281303.0,1920944703,224942,미스터리,15세이상관람가,일반영화,4.67,"톰 행크스,펠리시티 존스,벤 포스터",121,8.2,610,2016,932909,1,1,902399,1,2,5,48,204,0,B
778,해피 데스데이 2 유,크리스토퍼 랜던,유니버설픽쳐스인터내셔널 코리아(유),B,20190214,winter,개봉영화,장편,미국,657,3437809200.0,942294620,110636,공포,15세이상관람가,일반영화,6.0,"제시카 로테,이스라엘 브로우사드,피 부",100,8.399491094,393,2019,1382480,1,0,0,1,1,0,22,284,0,B
567,데드풀 2,데이빗 레이치,이십세기폭스코리아(주),B,20180516,spring,개봉영화,장편,미국,1576,34174783339.0,10750085639,1144469,액션,청소년관람불가,일반영화,5.86,"라이언 레이놀즈,조슈 브롤린,재지 비츠",117,9.184284617000001,3907,2018,271497,1,1,5889355,1,3,8,477,731,0,B
765,항거:유관순 이야기,조민호,롯데컬처웍스(주)롯데엔터테인먼트,A,20190227,winter,개봉영화,장편,한국,1094,9289243101.0,2042776641,247837,드라마,12세이상관람가,독립/예술영화,6.2,"고아성,김새벽,김예은",105,9.42996988,1328,2019,0,0,1,7231218,1,0,9,263,957,0,A
457,오두막,스튜어트 하젤딘,판씨네마(주),D,20170420,spring,개봉영화,장편,미국,396,559079300.0,281508200,35423,드라마,12세이상관람가,독립/예술영화,4.0,"샘 워싱턴,옥타비아 스펜서,라다 미첼",132,8.492537313,67,2017,0,0,1,362055,1,0,7,16,68,0,C
549,극장판 파워레인저: 애니멀포스 VS 닌자포스 미래에서 온 메시지,타케모토 노보루,(주)넥스트엔터테인먼트월드(NEW),C,20171109,autumn,개봉영화,장편,일본,370,501257700.0,113064100,13908,액션,전체관람가,일반영화,0.0,"나카오 마사키,야나기 미키,난바 쇼헤이",58,8.866666667,60,2017,0,1,1,0,1,0,0,2,5,0,A
522,빅풋 주니어,"제레미 드그루손,벤 스타센",(주)이수C&E,B,20170809,summer,개봉영화,장편,기타,437,2245548900.0,451385400,60164,애니메이션,전체관람가,독립/예술영화,0.0,"우정신,임채헌",92,8.88,100,2017,135094,0,0,85624,2,1,2,15,45,0,B
459,패트리어트 데이,피터 버그,(주)이수C&E,B,20170406,spring,개봉영화,장편,미국,375,521471618.0,173633018,21365,드라마,15세이상관람가,일반영화,5.0,마크 월버그,133,9.025316456,158,2017,173678,0,1,3116837,1,1,3,19,32,0,B
488,저스티스 리그,잭 스나이더,워너브러더스 코리아(주),B,20171115,autumn,개봉영화,장편,미국,1308,14629677795.0,4549730995,524158,액션,12세이상관람가,일반영화,5.83,"벤 애플렉,갤 가돗,제이슨 모모아",120,8.01030303,1650,2017,2256913,1,1,8337826,1,1,7,150,490,0,B
199,아가씨,박찬욱,씨제이이앤엠(주),A,20160601,summer,개봉영화,장편,한국,1171,34016141691.0,10420706771,1229339,스릴러,청소년관람불가,일반영화,7.68,"김민희,김태리,하정우",144,7.559087205,3681,2016,386200,1,0,33785146,1,2,10,2471,1032,0,A
816,호텔 뭄바이,앤소니 마라스,"글뫼 주식회사,(주)에스와이코마드",D,20190508,spring,개봉영화,장편,기타,207,599904700.0,242021000,29325,스릴러,15세이상관람가,독립/예술영화,6.2,"데브 파텔,아미 해머,나자닌 보니아디",123,9.0,26,2019,0,0,1,771328,1,0,6,12,228,0,C
782,헬보이,닐 마샬,메가박스중앙(주)플러스엠,A,20190410,spring,개봉영화,장편,미국,726,2776406321.0,767125181,86763,액션,청소년관람불가,일반영화,5.4,"데이빗 하버,밀라 요보비치",121,7.951807229,415,2019,0,0,1,785488,1,0,3,42,455,0,A
129,열정같은소리하고있네,정기훈,(주)넥스트엔터테인먼트월드(NEW),C,20151125,autumn,개봉영화,장편,한국,566,4758959902.0,1349304002,176766,드라마,15세이상관람가,일반영화,5.47,"정재영,박보영",106,8.036036036,333,2015,1726459,1,0,18037447,1,1,11,1223,573,0,A
90,기생수 파트2,야마자키 타카시,판씨네마(주),D,20150507,spring,개봉영화,장편,일본,260,502071959.0,162446959,19447,SF,청소년관람불가,일반영화,7.17,"소메타니 쇼타,아베 사다오,후카츠 에리",118,7.8,55,2015,0,1,1,8741,1,0,2,10,31,0,C
823,어글리 돌,캘리 애스버리,판씨네마(주),D,20190501,spring,개봉영화,장편,미국,353,357110870.0,82282540,10570,애니메이션,전체관람가,독립/예술영화,6.0,"켈리 클락슨,닉 조나스,자넬 모네",87,8.942307692,52,2019,427764,0,0,0,1,1,0,16,234,0,C
126,하트 오브 더 씨,론 하워드,워너브러더스 코리아(주),B,20151203,winter,개봉영화,장편,미국,535,6776484023.0,2010066023,226889,액션,12세이상관람가,일반영화,6.45,"크리스 헴스워스,킬리언 머피,벤 위쇼",121,8.3125,240,2015,123582,1,0,12047506,1,1,9,35,203,0,B
279,트럼보,제이 로치,"그린나래미디어(주),(주)프레인글로벌",D,20160407,spring,개봉영화,장편,미국,310,462652100.0,235668600,29659,드라마,15세이상관람가,독립/예술영화,7.6,"브라이언 크랜스톤,다이안 레인,헬렌 미렌",124,8.641025641,39,2016,0,1,0,8133898,1,0,5,25,54,0,C
163,셀프/리스,타셈 싱,(주)이수C&E,B,20150910,autumn,개봉영화,장편,미국,340,874447764.0,292812964,35675,SF,15세이상관람가,일반영화,5.17,"라이언 레이놀즈,매튜 구드,벤 킹슬리",117,7.945652174,92,2015,576150,0,0,14100650,1,1,8,18,58,0,B
111,앤트맨,페이튼 리드,월트디즈니컴퍼니코리아(주),B,20150903,autumn,개봉영화,장편,미국,949,23502249937.0,7332839937,840337,액션,12세이상관람가,일반영화,7.09,"폴 러드,마이클 더글라스,에반젤린 릴리",117,8.691348402000001,1283,2015,0,1,0,4890667,1,0,6,78,330,0,B
652,패터슨,짐 자무쉬,그린나래미디어(주),D,20171221,winter,개봉영화,장편,프랑스,62,299485600.0,234983900,27172,드라마,12세이상관람가,독립/예술영화,8.2,"아담 드라이버,골쉬프테 파라하니",118,8.626436782,174,2017,0,0,0,133170,1,0,2,24,31,0,C
706,나를 차버린 스파이,수잔나 포겔,(주)누리픽쳐스,D,20180822,summer,개봉영화,장편,미국,278,2346742100.0,741785000,82196,액션,15세이상관람가,일반영화,5.8,"밀라 쿠니스,케이트 맥키넌",117,8.375,16,2018,0,0,0,836157,1,0,3,30,176,0,C
372,극장판 도라에몽: 신 진구의 버스 오브 재팬,야쿠와 신노스케,(주)넥스트엔터테인먼트월드(NEW),C,20161221,winter,개봉영화,장편,일본,282,453920100.0,106368900,12969,애니메이션,전체관람가,일반영화,0.0,"채민지,김정아,최낙윤",103,8.975806452,124,2016,166092,1,1,1611,1,1,2,8,32,0,A
887,두번할까요,박용집,(주)리틀빅픽쳐스,D,20191017,autumn,개봉영화,장편,한국,658,1449660120.0,369483800,43186,코미디,15세이상관람가,일반영화,3.5,"권상우,이정현,이종혁",112,8.046875,64,2019,0,0,0,21694173,1,0,18,532,454,0,C
667,너의 결혼식,이석근,메가박스중앙(주)플러스엠,A,20180822,summer,개봉영화,장편,한국,962,23670604369.0,5852853319,666845,멜로/로맨스,12세이상관람가,일반영화,6.57,"박보영,김영광",110,9.092165899,2170,2018,0,0,0,1105833,1,0,3,298,905,0,A
675,성난황소,김민호,(주)쇼박스,C,20181122,autumn,개봉영화,장편,한국,1010,13236490737.0,2517251837,293079,범죄,15세이상관람가,일반영화,4.67,"마동석,송지효",115,8.740901683999999,1841,2018,0,0,0,38839101,1,0,8,872,844,0,A
643,온리 더 브레이브,조셉 코신스키,㈜코리아스크린,D,20180307,spring,개봉영화,장편,미국,301,373727300.0,127393400,15953,드라마,12세이상관람가,일반영화,6.5,"조슈 브롤린,마일즈 텔러,제프 브리지스",133,9.444444444,36,2018,0,0,0,6853436,1,0,13,14,31,0,C
921,아이리시맨,마틴 스코세이지,판씨네마(주),D,20191120,autumn,개봉영화,장편,미국,68,293466900.0,215547620,24855,범죄,청소년관람불가,독립/예술영화,9.11,"로버트 드 니로,알 파치노,조 페시",209,8.870588235,85,2019,94750,0,1,340008,1,1,5,33,189,0,C
72,나의 절친 악당들,임상수,이십세기폭스코리아(주),B,20150625,summer,개봉영화,장편,한국,384,921337864.0,298390064,35949,범죄,청소년관람불가,일반영화,5.5,"류승범,고준희,류현경",110,5.9,80,2015,1165481,0,0,14161423,1,1,11,607,310,0,B
2,킹스맨 : 시크릿 에이전트,매튜 본,이십세기폭스코리아(주),B,20150211,winter,개봉영화,장편,미국,706,50333635795.0,16707645195,1968882,액션,청소년관람불가,일반영화,7.58,"콜린 퍼스,태런 에저튼,사무엘 L. 잭슨",128,8.960784314,918,2015,7163,1,0,6557445,1,1,12,427,384,0,B
