,N_movie_code,title,comeout_date,expert_rating,starring_actors,running_times,directors,audience_rating,rating_audiences
124,122984,손님,2015,6.66,"류승룡(우룡), 이성민(촌장), 천우희(미숙)",107분,김광태,6.850356294536817,421
125,114286,인시디어스 3,2015,4.63,"스테파니 스콧(퀸 브레너), 더모트 멀로니(션 브레너), 린 샤예(앨리스 레이니어)",97분,리 워넬,7.795031055900621,322
126,114225,하트 오브 더 씨,2015,6.45,"크리스 헴스워스(오웬 체이스), 킬리언 머피(매튜 조이), 벤 위쇼(허먼 멜빌)",121분,론 하워드,8.3125,240
127,100643,헝거게임 : 더 파이널,2015,6.60,"제니퍼 로렌스(캣니스 에버딘), 조쉬 허처슨(피타 멜라크), 리암 헴스워스(게일 호손)",137분,프란시스 로렌스,7.791479820627803,446
128,125421,픽셀,2015,5.00,"아담 샌들러(샘 브레너), 케빈 제임스(윌 쿠퍼), 미셸 모나한(바이올렛 반 패튼)",106분,크리스 콜럼버스,7.891304347826087,414
129,128258,열정같은소리하고있네,2015,5.47,"정재영(하재관), 박보영(도라희)",106분,정기훈,8.036036036036036,333
130,136007,특종: 량첸살인기,2015,6.57,"조정석(허무혁), 이미숙(백국장), 이하나(수진)",125분,노덕,8.25512528473804,439
131,125484,서부전선,2015,5.83,"설경구(남복), 여진구(영광)",112분,천성일,7.386533665835412,401
132,134845,극장판 요괴워치: 탄생의 비밀이다냥!,2014,5.00,"박경혜(민호), 김현지(지바냥), 홍범기(위스퍼)",97분,"타카하시 시게하루, 우시로 신지",8.865148861646235,571
133,134136,명탐정 코난 : 화염의 해바라기,Detective Conan: Sunflowers of Inferno,4.50,"김선혜(코난 목소리), 강수진(남도일 목소리), 신용우(괴도키드 목소리)",112분,시즈노 코분,8.637096774193548,372
134,98149,"협녀, 칼의 기억",2015,6.12,"이병헌(유백), 전도연(월소), 김고은(홍이)",121분,박흥식,6.151515151515151,264
135,114265,어린왕자,2015,7.25,"제프 브리지스(조종사 목소리), 레이첼 맥아담스(엄마 목소리), 매켄지 포이(소녀 목소리)",106분,마크 오스본,8.180925666199158,713
136,120141,오피스,Office,6.31,"고아성(이미례), 박성웅(종훈)",111분,홍원찬,7.033613445378151,238
137,118968,판타스틱 4,2015,2.50,"마일즈 텔러(리드 리차드 / 미스터 판타스틱), 케이트 마라(수잔 스톰 / 인비서블 우먼), 마이클 B. 조던(조니 스톰 / 휴먼 토치)",100분,조쉬 트랭크,5.763565891472868,258
138,143253,뽀로로 극장판 컴퓨터 왕국 대모험,Cyberspace Adventure,-,"이선(뽀로로 목소리), 이미자(크롱 목소리), 함수정(에디 목소리)",62분,박영균,8.8997668997669,429
139,130787,치외법권,2015,4.83,"임창정(이정진), 최다니엘(조유민)",104분,신재호,7.247058823529412,170
140,118952,에베레스트,2015,6.42,"제이슨 클락(롭 홀), 제이크 질렌할(스캇 피셔), 조슈 브롤린(벡 웨더스)",121분,발타자르 코루마쿠르,7.760162601626016,246
141,115520,극적인 하룻밤,2015,5.08,"윤계상(정훈), 한예리(시후), 박병은(준석)",107분,하기호,7.8559322033898304,118
142,140139,뮨: 달의 요정,2015,7.00,"조슈아 j. 발라드(뮨), 오마 사이(소혼), 트레버 드볼(소혼)",85분,"알렉상드르 헤보얀, 베노이트 필립폰",8.323529411764707,238
143,124013,도리화가,The Sound Of A Flower,5.44,"류승룡(신재효), 수지(진채선), 송새벽(김세종)",109분,이종필,7.923076923076923,182
144,129333,스파이 브릿지,2015,8.59,"톰 행크스(제임스 도노반), 마크 라이런스(루돌프 아벨), 오스틴 스토웰(프렌시스 게리 파워스)",141분,스티븐 스필버그,8.902702702702703,185
145,130765,함정,2015,3.00,"마동석(성철), 조한선(준식), 김민경(소연)",96분,권형진,6.43010752688172,186
146,125405,하늘을 걷는 남자,2015,7.38,"조셉 고든 레빗(펠리페 페팃), 벤 킹슬리(파파 루디), 샬롯 르 본(애니)",123분,로버트 저메키스,8.729591836734693,196
147,130786,조선마술사,2015,4.63,"유승호(환희), 고아라(청명)",122분,김대승,7.160621761658031,579
148,134134,괴물의 아이,The Boy and The Beast,7.20,"야쿠쇼 코지(쿠마테츠 목소리), 미야자키 아오이(큐타 (소년시절) 목소리), 소메타니 쇼타(큐타 (청년시절) 목소리)",119분,호소다 마모루,8.893203883495145,103
149,137010,포켓몬 더 무비 XY 후파: 광륜의 초마신,Pokemon the Movie XY: R...,-,"여민정(굴레에 빠진 후파 목소리), 이광수(굴레를 벗어난 후파 목소리), 이선호(지우 목소리)",80분,유야마 쿠니히코,8.790748898678414,454
150,119431,팬,-,5.0,"휴 잭맨, 가렛 헤드룬드, 루니 마라",111분,조 라이트,8.157894736842104,133
151,127375,더 셰프,2015,5.67,"브래들리 쿠퍼(아담 존스), 시에나 밀러(스위니), 오마 사이(미쉘)",101분,존 웰스,8.21875,160
152,129012,레전드,-,6.33,"톰 하디, 태런 애저튼, 에밀리 브라우닝",132분,브라이언 헬겔랜드,7.6347826086956525,115
153,117802,아메리칸 울트라,2015,6.33,"제시 아이젠버그(마이크 하웰), 크리스틴 스튜어트(피비), 코니 브리튼(빅토리아 라세터)",95분,니마 누리자데,7.220689655172414,145
154,130978,트랜스포터: 리퓰드,2015,3.50,"에드 스크레인(프랭크 마틴), 론 샤바놀(안나)",86분,카밀 들라마레,7.463157894736842,95
155,147001,내부자들: 디 오리지널,2015,-,"이병헌(안상구), 조승우(우장훈), 백윤식(이강희)",180분,우민호,9.05240706886045,1641
156,99748,스누피:더 피너츠 무비,2015,6.00,"빌 멜렌데즈(스누피 / 우드스톡 목소리), 노아 스납(찰리 브라운 목소리)",93분,스티브 마티노,7.867149758454106,414
157,127321,우먼 인 골드,2015,7.00,"헬렌 미렌(마리아 알트만), 라이언 레이놀즈(랜드 쉔베르크), 다니엘 브륄(유베르투스 체르닌)",109분,사이먼 커티스,9.0625,80
158,125466,시카리오: 암살자의 도시,2015,7.97,"에밀리 블런트(케이트 메이서), 베니시오 델 토로(알레한드로), 조슈 브롤린(맷 그레이버)",121분,드니 빌뇌브,8.0,78
159,140895,러브 라이브! 더 스쿨 아이돌 무비,LOVELIVE THE School idol Movie,-,"닛타 에미(코우사카 호노카), 난죠 요시노(아야세 에리), 우치다 아야(미나미 코토리)",99분,쿄고쿠 타카히코,9.361204013377927,299
160,136832,퇴마: 무녀굴,2015,5.17,"김성균(신진명), 유선(김금주), 천호진(강목사)",105분,김휘,7.868525896414343,251
161,134685,극장판 도라에몽: 진구의 우주영웅기~스페이스 히어로즈~,Doraemon The Movie: N...,5.67,"미즈타 와사비(도라에몽 목소리), 오오하라 메구미(노비타(진구) 목소리), 카카즈 유미(시즈카 목소리)",100분,오오스기 요시히로,8.666666666666666,48
162,132991,미라클 벨리에,The Belier Family,6.81,"루안 에머라(폴라 벨리에), 카린 비아르(지지 벨리에), 프랑수아 다미앙(로돌프 벨리에)",105분,에릭 라티고,8.825581395348838,86
163,118376,셀프/리스,2015,5.17,"라이언 레이놀즈(젊은 데미안), 매튜 구드(알브라이트), 벤 킹슬리(데미안)",117분,타셈 싱,7.945652173913044,92
164,90591,맨 프롬 UNCLE,2015,6.25,"헨리 카빌(나폴레옹 솔로), 아미 해머(일리야), 알리시아 비칸데르(개비 텔러)",116분,가이 리치,8.038461538461538,78
165,137991,프리덤,2014,-,"쿠바 구딩 쥬니어(사무엘), 베르나르드 포처(존 뉴턴), 윌리암 새들러(핌턴)",95분,피터 쿠센스,8.545454545454545,11
166,130733,돌연변이,2015,6.31,"이광수(구), 이천희(상원), 박보영(주진)",93분,권오광,7.467532467532467,77
167,135807,극장판 파워레인저 트레인포스 VS 다이노포스 THE MOVIE,-,-,"심규혁, 이인석, 강시현",60분,와타나베 카츠야,8.461538461538462,104
168,179150,맥베스,2017,-,"젤리코 루치치(맥베스), 안나 네트렙코(레이디 맥베스), 일데브란도 다르칸젤로(뱅쿠오)",181분,필리다 로이드,-,-
