,audience_rating,rating_audiences
588,6.746987951807229,415
589,8.568734793187348,1644
590,7.378947368421053,285
591,9.881427072402937,953
592,7.783625730994152,342
593,9.075987841945288,329
594,6.309677419354839,310
595,7.736196319018405,652
596,8.304347826086957,460
597,8.841176470588236,510
598,7.7342342342342345,222
599,9.202635914332784,607
600,9.16793893129771,131
601,8.395280235988201,339
602,9.471153846153847,104
603,9.105022831050228,219
604,8.526315789473685,76
605,9.103109656301145,611
606,8.217391304347826,92
607,9.733333333333333,45
608,9.003968253968255,252
609,8.440092165898617,434
610,8.863013698630137,146
611,8.41304347826087,184
612,9.4251968503937,127
613,7.669811320754717,424
614,8.042780748663102,374
615,7.54,150
616,9.440251572327044,159
617,8.99290780141844,141
618,5.9416058394160585,274
619,8.064220183486238,109
620,8.805309734513274,113
621,9.27659574468085,47
622,8.583333333333334,36
623,7.490909090909091,110
624,9.31578947368421,19
625,8.629032258064516,248
626,9.255813953488373,43
627,7.5,92
628,8.75609756097561,123
629,9.333333333333334,234
630,9.367647058823529,68
631,8.956521739130435,46
632,7.413043478260869,92
633,9.290909090909091,55
634,8.733333333333333,45
635,9.090909090909092,44
636,-,-
637,8.957446808510639,94
638,6.636363636363637,11
639,8.59375,32
640,7.96078431372549,51
641,-,-
642,7.3076923076923075,26
643,6.986111111111111,72
644,9.444444444444445,36
645,9.384615384615385,65
646,8.823529411764707,51
647,9.5,4
648,7.517241379310345,29
649,8.954545454545455,44
650,7.666666666666667,48
651,9.128205128205128,39
652,8.179487179487179,78
653,8.626436781609195,174
654,8.263157894736842,19
655,8.671614712188685,6063
656,9.555923777961889,1207
657,9.182002581596903,5423
658,8.975738984941438,3586
659,8.667371847030106,6145
660,9.222723428249225,3547
661,7.819280660377358,3392
662,8.305248226950354,3525
663,8.593857634902411,3484
664,8.820384294068505,1197
665,8.768219832735962,1674
666,9.346312242605766,2671
667,9.121428571428572,700
668,9.09216589861751,2170
669,7.73300283286119,1412
670,7.486516853932584,890
671,9.082278481012658,1106
672,7.865155807365439,1765
673,8.458087367178276,847
674,7.436655405405405,2368
675,6.825609756097561,820
676,8.740901683867463,1841
677,7.958402662229617,601
678,9.114047287899862,719
679,6.906976744186046,774
680,8.786850477200424,943
681,8.745495495495495,1332
682,7.4427333974975936,1039
683,8.733990147783251,406
684,5.382171226831421,1133
685,9.28852119958635,967
686,6.019417475728155,824
687,6.674591381872214,673
688,9.29496402877698,417
689,8.859649122807017,912
690,8.102857142857143,350
