,영화명,감독,제작사,수입사,배급사,개봉일,영화유형,영화형태,국적,전국스크린수,전국매출액,전국관객수,서울매출액,서울관객수,장르,등급,영화구분
61,기생수 파트1,야마자키 타카시,,판씨네마(주),판씨네마(주),2015-02-26,개봉영화,장편,일본,247,1534923185,186184,438111585,51401,스릴러,청소년관람불가,일반영화
62,인터스텔라,크리스토퍼 놀란,,워너브러더스 코리아(주),워너브러더스 코리아(주),2014-11-06,개봉영화,장편,미국,1342,1619640900,170235,884774800,92474,SF,12세이상관람가,일반영화
63,최강전사 미니특공대 : 새로운 악당의 습격,이영준,(주)삼지애니메이션,,에이원엔터테인먼트,2015-02-05,개봉영화,장편,한국,318,1163431200,154342,220766300,27906,애니메이션,전체관람가,일반영화
64,아메리칸 셰프,존 파브로,,(주)누리픽쳐스,(주)영화사 진진,2015-01-07,개봉영화,장편,미국,111,1240660929,151833,787266129,95079,코미디,15세이상관람가,독립/예술영화
65,짱구는 못말려 극장판 : 정면승부! 로봇아빠의 역습,타카하시 와타루,,대원미디어(주),(주)이수C&E,2015-04-23,개봉영화,장편,일본,372,1085388600,150226,171433200,22562,애니메이션,전체관람가,일반영화
66,워킹걸,정범식,"(주)홍필름,(주)수필름",,메가박스중앙(주)플러스엠,2015-01-07,개봉영화,장편,한국,308,1183887479,149181,389163479,49874,코미디,청소년관람불가,일반영화
67,은밀한 유혹,윤재구,"(주)영화사비단길,(주)수필름",,씨제이이앤엠(주),2015-06-04,개봉영화,장편,한국,394,1112273247,142375,353352647,43475,멜로/로맨스,15세이상관람가,일반영화
68,화장,임권택,(주)명필름,,(주)리틀빅픽쳐스,2015-04-09,개봉영화,장편,한국,327,1059405100,140616,338077900,43757,드라마,청소년관람불가,독립/예술영화
69,워터 디바이너,러셀 크로우,,(주)더블앤조이픽쳐스,롯데쇼핑㈜롯데엔터테인먼트,2015-01-28,개봉영화,장편,미국,326,1008818235,136134,315480635,42375,드라마,15세이상관람가,일반영화
70,눈의 여왕 2: 트롤의 마법거울,알렉세이 트시칠린,,(주)시네마리퍼블릭,씨네그루(주)다우기술,2014-12-24,개봉영화,장편,러시아,479,859030900,120278,171264600,22406,애니메이션,전체관람가,독립/예술영화
71,19곰 테드 2,세스 맥팔레인,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2015-06-25,개봉영화,장편,미국,297,961888700,119518,378111600,45161,코미디,청소년관람불가,일반영화
72,나의 절친 악당들,임상수,"휠므빠말주식회사,이십세기폭스 인터내셔널 프로덕션",,이십세기폭스코리아(주),2015-06-25,개봉영화,장편,한국,384,921337864,116444,298390064,35949,범죄,청소년관람불가,일반영화
73,존 윅,"데이빗 레이치,채드 스타헬스키",,"(유)조이앤시네마,(유)조이앤컨텐츠그룹","(주)제이앤씨미디어그룹,(주)나이너스엔터테인먼트",2015-01-21,개봉영화,장편,미국,321,925995637,116119,338434537,41631,액션,청소년관람불가,일반영화
74,상의원,이원석,"(주)영화사비단길,상의원문화산업전문(유)",,"(주)쇼박스,(주)와우픽쳐스",2014-12-24,개봉영화,장편,한국,466,908709400,113526,290262800,35338,사극,15세이상관람가,일반영화
75,스틸 앨리스,"리처드 글랫저,워시 웨스트모어랜드",,그린나래미디어(주),그린나래미디어(주),2015-04-29,개봉영화,장편,미국,109,856716246,111005,479597846,60784,드라마,12세이상관람가,독립/예술영화
76,더 건맨,피에르 모렐,,(유)조이앤컨텐츠그룹,롯데쇼핑㈜롯데엔터테인먼트,2015-04-16,개봉영화,장편,프랑스,349,833910965,107441,240106365,30062,액션,청소년관람불가,일반영화
77,빌리와 용감한 녀석들 3,척 파워스,,㈜코리아스크린,롯데쇼핑㈜롯데엔터테인먼트,2015-04-30,개봉영화,장편,미국,343,699788600,98495,177312700,23652,애니메이션,전체관람가,독립/예술영화
78,7번째 아들,세르게이 보드로프,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2015-02-11,개봉영화,장편,미국,358,729980451,92598,218674251,25546,어드벤처,12세이상관람가,일반영화
79,포커스,"글렌 피카라,존 레쿼",,워너브러더스 코리아(주),워너브러더스 코리아(주),2015-02-26,개봉영화,장편,미국,349,702878700,91164,227994000,28313,코미디,15세이상관람가,일반영화
80,심야식당,마츠오카 조지,,(주)엔케이컨텐츠,(주)영화사 진진,2015-06-18,개봉영화,장편,일본,180,711908074,90416,351932174,43398,드라마,12세이상관람가,독립/예술영화
81,빅 아이즈,팀 버튼,,판씨네마(주),판씨네마(주),2015-01-28,개봉영화,장편,미국,290,651316335,85200,333321635,42902,드라마,12세이상관람가,독립/예술영화
82,와일드,장 마크 발레,,이십세기폭스코리아(주),이십세기폭스코리아(주),2015-01-22,개봉영화,장편,미국,58,665271800,83334,408810700,50722,드라마,청소년관람불가,독립/예술영화
83,더 이퀄라이저,안톤 후쿠아,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2015-01-28,개봉영화,장편,미국,255,639464500,82779,220031900,28526,액션,청소년관람불가,일반영화
84,세인트 빈센트,데오도르 멜피,,(주)메인타이틀픽쳐스,(주)영화사 빅,2015-03-05,개봉영화,장편,미국,308,604885528,78336,225289928,28351,코미디,12세이상관람가,독립/예술영화
85,모데카이,데이빗 코엡,,(주)나이너스엔터테인먼트,(주)나이너스엔터테인먼트,2015-02-18,개봉영화,장편,미국,290,624513020,78070,297995120,36209,액션,15세이상관람가,일반영화
86,엑스 마키나,알렉스 가랜드,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2015-01-21,개봉영화,장편,미국,207,629716963,78049,316342463,38747,SF,청소년관람불가,일반영화
87,타임 패러독스,"마이클 스피어리그,피터 스피어이그",,(유)조이앤컨텐츠그룹,(유)조이앤시네마,2015-01-07,개봉영화,장편,호주,232,602296908,76803,220836608,27156,SF,15세이상관람가,독립/예술영화
88,피치 퍼펙트: 언프리티 걸즈,엘리자베스 뱅크스,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2015-05-28,개봉영화,장편,미국,297,591516497,75598,240698797,29268,코미디,15세이상관람가,일반영화
89,위자,스틸즈 화이트,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2015-04-16,개봉영화,장편,미국,337,570154035,73549,143358035,17902,미스터리,15세이상관람가,일반영화
90,기생수 파트2,야마자키 타카시,,판씨네마(주),판씨네마(주),2015-05-07,개봉영화,장편,일본,260,502071959,62071,162446959,19447,SF,청소년관람불가,일반영화
91,위아영,노아 바움백,,(주)드림웨스트픽쳐스,"(주)브리즈픽처스,(주)영화사오원",2015-05-14,개봉영화,장편,미국,235,492955360,61664,293821260,35986,코미디,15세이상관람가,독립/예술영화
92,드래곤 블레이드,이인항,,(유)조이앤컨텐츠그룹,롯데쇼핑㈜롯데엔터테인먼트,2015-03-12,개봉영화,장편,중국,264,427722800,56547,113013200,14534,액션,15세이상관람가,독립/예술영화
93,나이트 크롤러,댄 길로이,,(주)누리픽쳐스,(주)스톰픽쳐스코리아,2015-02-26,개봉영화,장편,미국,233,451041300,55892,203599400,24807,범죄,청소년관람불가,독립/예술영화
94,더 라스트: 나루토 더 무비,코바야시 츠네오,,애니박스 엔터테인먼트,와이드 릴리즈(주),2015-02-26,개봉영화,장편,일본,158,391905272,52816,112856072,14897,애니메이션,12세이상관람가,독립/예술영화
95,바다 탐험대 옥토넛 스페셜,니키 팰런,,얼리버드,와이드 릴리즈(주),2015-02-05,개봉영화,장편,영국,210,383427600,51884,84362100,10733,애니메이션,전체관람가,독립/예술영화
96,엘리노어 릭비: 그 남자 그 여자,네드 벤슨,,(주)드림웨스트픽쳐스,(주)이수C&E,2015-04-09,개봉영화,장편,미국,212,375796900,46589,207508900,24892,드라마,15세이상관람가,독립/예술영화
97,송 원,케이트 베커-플로이랜드,,(주)박수엔터테인먼트,(주)박수엔터테인먼트,2015-04-01,개봉영화,장편,미국,365,343444743,46079,130271143,16646,드라마,15세이상관람가,독립/예술영화
98,한 번 더 해피엔딩,마크 로렌스,,주식회사 더쿱,(주)팝엔터테인먼트,2015-04-08,개봉영화,장편,미국,231,348096551,45166,162620851,20409,멜로/로맨스,15세이상관람가,독립/예술영화
99,약장수,조치언,(주)26컴퍼니,,"(주)대명문화공장,(주)나이너스엔터테인먼트",2015-04-23,개봉영화,장편,한국,282,313238400,43562,94969000,13043,드라마,15세이상관람가,일반영화
100,베테랑,류승완,"(주)외유내강,(주)필름케이",,씨제이이앤엠(주),2015-08-05,개봉영화,장편,한국,1064,105024756250,13395400,26766369950,3290366,액션,15세이상관람가,일반영화
101,암살,최동훈,(주)케이퍼필름,,(주)쇼박스,2015-07-22,개봉영화,장편,한국,1519,98463132781,12705700,25306651181,3155960,액션,15세이상관람가,일반영화
102,내부자들,우민호,(유)내부자들 문화전문회사,,(주)쇼박스,2015-11-19,개봉영화,장편,한국,1075,56464117657,7055074,16275240857,1965368,범죄,청소년관람불가,일반영화
103,사도,이준익,(주)타이거픽쳐스,,(주)쇼박스,2015-09-16,개봉영화,장편,한국,1210,48842902501,6246849,12987928301,1606486,사극,12세이상관람가,일반영화
104,미션 임파서블: 로그네이션,크리스토퍼 맥쿼리,,롯데쇼핑㈜롯데엔터테인먼트,롯데쇼핑㈜롯데엔터테인먼트,2015-07-30,개봉영화,장편,미국,1202,48547353607,6126488,13751315607,1669524,액션,15세이상관람가,일반영화
105,검은 사제들,장재현,영화사 집,,씨제이이앤엠(주),2015-11-05,개봉영화,장편,한국,1088,42392797092,5440520,11617009792,1428316,미스터리,15세이상관람가,일반영화
106,히말라야,이석훈,(주)제이케이필름,,씨제이이앤엠(주),2015-12-16,개봉영화,장편,한국,1009,39469775448,5129409,9308851168,1169945,드라마,12세이상관람가,일반영화
107,인사이드 아웃,피트 닥터,,월트디즈니컴퍼니코리아(주),월트디즈니컴퍼니코리아(주),2015-07-09,개봉영화,장편,미국,777,38015586936,4968687,12814825236,1594626,애니메이션,전체관람가,일반영화
108,마션,리들리 스콧,,이십세기폭스코리아(주),이십세기폭스코리아(주),2015-10-08,개봉영화,장편,미국,1132,39612764295,4875494,12914889095,1509471,액션,12세이상관람가,일반영화
109,인턴,낸시 마이어스,,워너브러더스 코리아(주),워너브러더스 코리아(주),2015-09-24,개봉영화,장편,미국,496,28517727148,3610564,10023591548,1228195,코미디,12세이상관람가,일반영화
110,터미네이터 제니시스,앨런 테일러,,롯데쇼핑㈜롯데엔터테인먼트,롯데쇼핑㈜롯데엔터테인먼트,2015-07-02,개봉영화,장편,미국,1113,26546725129,3239371,7364611329,852065,액션,15세이상관람가,일반영화
111,앤트맨,페이튼 리드,,월트디즈니컴퍼니코리아(주),월트디즈니컴퍼니코리아(주),2015-09-03,개봉영화,장편,미국,949,23502249937,2839921,7332839937,840337,액션,12세이상관람가,일반영화
112,스타워즈: 깨어난 포스,J.J. 에이브럼스,,월트디즈니컴퍼니코리아(주),월트디즈니컴퍼니코리아(주),2015-12-17,개봉영화,장편,미국,940,24149478540,2803234,8142582481,888167,액션,12세이상관람가,일반영화
