,영화명,감독,제작사,수입사,배급사,개봉일,영화유형,영화형태,국적,전국스크린수,전국매출액,전국관객수,서울매출액,서울관객수,장르,등급,영화구분
736,나츠메 우인장: 세상과 연을 맺다,"오오모리 타카히로,이토 히데키",,(주)애니플러스,(주)애니플러스,2018-10-31,개봉영화,장편,일본,110,387190200,46913,143055100,16780,애니메이션,전체관람가,일반영화
737,에그엔젤 코코밍: 두근두근 핼러윈 파티,닛타 노리오,,"에스엠지홀딩스 주식회사,(주)코코믹스",(주)엠제이픽쳐스,2018-09-22,개봉영화,장편,일본,179,367076000,46386,66128800,8014,애니메이션,전체관람가,일반영화
738,타샤 튜더,마츠타니 미츠에,,(주)마노엔터테인먼트,(주)마노엔터테인먼트,2018-09-13,개봉영화,장편,일본,28,363170850,45764,227891450,26942,다큐멘터리,전체관람가,독립/예술영화
739,플로이,아르니 올라푸르 아스게이르손,,(주)스마일이엔티,(주)스마일이엔티,2018-08-15,개봉영화,장편,아이슬란드,242,329325300,44141,84916000,10166,애니메이션,전체관람가,독립/예술영화
740,다이노 어드벤처2: 육해공 공룡 대백과,마이크 데블린,,(주)박수엔터테인먼트,(주)박수엔터테인먼트,2018-10-09,개봉영화,장편,영국,322,335469900,43627,54117350,6630,애니메이션,전체관람가,일반영화
741,극장판 뽀잉: 슈퍼 변신의 비밀,정미화,(주)크레이지버드스튜디오,,"(주)이수C&E,(주)시너지미디어",2018-09-20,개봉영화,장편,한국,294,312710450,41054,71542300,8740,애니메이션,전체관람가,일반영화
742,배반의 장미,박진영,(주)태원엔터테인먼트,,롯데컬처웍스(주)롯데엔터테인먼트,2018-10-18,개봉영화,장편,한국,457,332232550,41054,94558600,11183,코미디,15세이상관람가,일반영화
743,이별의 아침에 약속의 꽃을 장식하자,오카다 마리,,(주)미디어캐슬,(주)미디어캐슬,2018-07-19,개봉영화,장편,일본,121,321863500,37764,108319700,12465,애니메이션,12세이상관람가,독립/예술영화
744,툴리,제이슨 라이트맨,,(주)콘텐츠판다,(주)리틀빅픽쳐스,2018-11-22,개봉영화,장편,캐나다,161,302483000,37241,152202000,18324,드라마,15세이상관람가,일반영화
745,"오늘 밤, 로맨스 극장에서",타케우치 히데키,,(주)엔케이컨텐츠,(주)디스테이션,2018-07-11,개봉영화,장편,일본,155,294851000,34897,127717400,14531,판타지,전체관람가,독립/예술영화
746,펭귄 하이웨이,이시다 히로야스,,(주)미디어캐슬,(주)넥스트엔터테인먼트월드(NEW),2018-10-18,개봉영화,장편,일본,338,276934100,34795,105306600,12079,애니메이션,전체관람가,독립/예술영화
747,극한직업,이병헌,"(주)어바웃필름,영화사 해그림 주식회사,씨제이이앤엠(주)",,씨제이이앤엠(주),2019-01-23,개봉영화,장편,한국,1978,139639783516,16263360,31858660536,3638287,코미디,15세이상관람가,일반영화
748,어벤져스: 엔드게임,"안소니 루소,조 루소",,월트디즈니컴퍼니코리아 유한책임회사,월트디즈니컴퍼니코리아 유한책임회사,2019-04-24,개봉영화,장편,미국,2835,122048514200,13918759,33469723220,3585380,액션,12세이상관람가,일반영화
749,기생충,봉준호,(주)바른손이앤에이,,씨제이이앤엠(주),2019-05-30,개봉영화,장편,한국,1948,81862071185,9577981,22039419115,2518131,드라마,15세이상관람가,일반영화
750,알라딘,가이 리치,,월트디즈니컴퍼니코리아 유한책임회사,월트디즈니컴퍼니코리아 유한책임회사,2019-05-23,개봉영화,장편,미국,1311,70606442339,8271797,20103879849,2239684,어드벤처,전체관람가,일반영화
751,캡틴 마블,"애너 보든,라이언 플렉",,월트디즈니컴퍼니코리아 유한책임회사,월트디즈니컴퍼니코리아 유한책임회사,2019-03-06,개봉영화,장편,미국,2100,51491272223,5801069,15433909683,1650932,액션,12세이상관람가,일반영화
752,돈,박누리,"(주)사나이픽처스,(주)영화사 월광",,(주)쇼박스,2019-03-20,개봉영화,장편,한국,1431,28869614062,3389035,7287586982,833513,범죄,15세이상관람가,일반영화
753,악인전,이원태,(주)비에이엔터테인먼트,,"(주)에이스메이커무비웍스,(주)키위미디어그룹",2019-05-15,개봉영화,장편,한국,1307,29116066670,3361851,6401126560,721472,범죄,청소년관람불가,일반영화
754,말모이,엄유나,더램프(주),,롯데컬처웍스(주)롯데엔터테인먼트,2019-01-09,개봉영화,장편,한국,1203,23681932520,2812310,5900912990,681266,드라마,12세이상관람가,일반영화
755,증인,이한,"(주)무비락,(주)도서관옆스튜디오",,롯데컬처웍스(주)롯데엔터테인먼트,2019-02-13,개봉영화,장편,한국,1047,20312348931,2516128,4478036341,547326,드라마,12세이상관람가,일반영화
756,사바하,장재현,"(주)외유내강,(주)필름케이",,씨제이이앤엠(주),2019-02-20,개봉영화,장편,한국,1174,20002183194,2397792,5593443364,654182,미스터리,15세이상관람가,일반영화
757,토이 스토리 4,조시 쿨리,,월트디즈니컴퍼니코리아 유한책임회사,월트디즈니컴퍼니코리아 유한책임회사,2019-06-20,개봉영화,장편,미국,1336,19256145350,2251096,6061378580,664899,애니메이션,전체관람가,일반영화
758,알리타: 배틀 엔젤,로버트 로드리게즈,,이십세기폭스코리아(주),이십세기폭스코리아(주),2019-02-05,개봉영화,장편,미국,1043,18527661667,1949372,5508845197,540123,액션,12세이상관람가,일반영화
759,내안의 그놈,강효진,"(주)에코필름,(주)전망좋은 영화사",,"(주)메리크리스마스,TCO(주)더콘텐츠온",2019-01-09,개봉영화,장편,한국,1041,16293580567,1901684,3159829257,357691,판타지,15세이상관람가,일반영화
760,뺑반,한준희,"호두앤유픽쳐스(주),(주)쇼박스",,(주)쇼박스,2019-01-30,개봉영화,장편,한국,1285,15222811848,1826714,3228907718,376646,범죄,15세이상관람가,일반영화
761,주먹왕 랄프 2: 인터넷 속으로,리치 무어,,월트디즈니컴퍼니코리아 유한책임회사,월트디즈니컴퍼니코리아 유한책임회사,2019-01-03,개봉영화,장편,미국,1453,13877029723,1754375,3619852653,429885,애니메이션,전체관람가,일반영화
762,걸캅스,정다원,필름모멘텀,,씨제이이앤엠(주),2019-05-09,개봉영화,장편,한국,973,13768755134,1624364,3194880954,367934,코미디,15세이상관람가,일반영화
763,드래곤 길들이기 3,딘 데블로이스,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2019-01-30,개봉영화,장편,미국,971,12340610576,1506942,3246170416,369678,애니메이션,전체관람가,일반영화
764,어스,조던 필,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2019-03-27,개봉영화,장편,미국,1132,12586771104,1475087,4105738924,463806,공포(호러),15세이상관람가,일반영화
765,나의 특별한 형제,육상효,"(주)명필름,(주)조이래빗",,(주)넥스트엔터테인먼트월드(NEW),2019-05-01,개봉영화,장편,한국,936,11808549574,1437648,2225446104,263248,드라마,12세이상관람가,일반영화
766,생일,이종언,"나우필름(주),(주)영화사레드피터,파인하우스필름(주)",,(주)넥스트엔터테인먼트월드(NEW),2019-04-03,개봉영화,장편,한국,862,9786575840,1186283,1958959300,230586,드라마,전체관람가,일반영화
767,항거:유관순 이야기,조민호,(주)디씨지플러스,,롯데컬처웍스(주)롯데엔터테인먼트,2019-02-27,개봉영화,장편,한국,1094,9289243101,1157583,2042776641,247837,드라마,12세이상관람가,독립/예술영화
768,롱 리브 더 킹: 목포 영웅,강윤성,"(주)영화사 필름몬스터,(주)비에이엔터테인먼트",,"메가박스중앙(주)플러스엠,(주)콘텐츠 난다긴다",2019-06-19,개봉영화,장편,한국,965,8679242160,1022790,1556881260,180353,액션,15세이상관람가,일반영화
769,엑스맨: 다크 피닉스,사이먼 킨버그,,이십세기폭스코리아(주),이십세기폭스코리아(주),2019-06-05,개봉영화,장편,미국,991,7644198640,862203,2170299420,227023,액션,12세이상관람가,일반영화
770,맨 인 블랙: 인터내셔널,F. 게리 그레이,,롯데컬처웍스(주)롯데엔터테인먼트,롯데컬처웍스(주)롯데엔터테인먼트,2019-06-12,개봉영화,장편,미국,1151,7406282720,843703,2154318570,234952,액션,12세이상관람가,일반영화
771,뽀로로 극장판 보물섬 대모험,"김현호,윤창섭,김현호",(주)오콘,,(주)넥스트엔터테인먼트월드(NEW),2019-04-25,개봉영화,장편,한국,736,5879651200,765595,1015766870,126750,애니메이션,전체관람가,일반영화
772,명탐정 피카츄,롭 레터맨,,워너브러더스 코리아(주),워너브러더스 코리아(주),2019-05-09,개봉영화,장편,미국,817,5730788546,686809,1767248906,201613,액션,전체관람가,일반영화
773,존 윅 3: 파라벨룸,채드 스타헬스키,,(유)조이앤시네마,"TCO(주)더콘텐츠온,(주)제이앤씨미디어그룹",2019-06-26,개봉영화,장편,미국,849,5789036442,676161,1763992132,201523,액션,청소년관람불가,일반영화
774,샤잠!,데이비드 F. 샌드버그,,워너브러더스 코리아(주),워너브러더스 코리아(주),2019-04-03,개봉영화,장편,미국,1148,5730673797,656492,1794508367,196571,액션,12세이상관람가,일반영화
775,극장판 헬로카봇: 옴파로스 섬의 비밀,"최신규,김진철",(주)초이락컨텐츠팩토리,,(주)넥스트엔터테인먼트월드(NEW),2019-01-31,개봉영화,장편,한국,752,4485905140,575353,724293890,88888,애니메이션,전체관람가,일반영화
776,이스케이프 룸,애덤 로비텔,,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,2019-03-14,개봉영화,장편,미국,850,5007420664,563114,1360092834,149452,액션,15세이상관람가,일반영화
777,글래스,M. 나이트 샤말란,,월트디즈니컴퍼니코리아 유한책임회사,월트디즈니컴퍼니코리아 유한책임회사,2019-01-17,개봉영화,장편,미국,837,4277452982,466475,1422916782,148074,드라마,15세이상관람가,일반영화
778,그린 북,피터 패럴리,,씨제이이앤엠(주),CGV아트하우스,2019-01-09,개봉영화,장편,미국,398,3603142560,429719,1945517390,229889,드라마,12세이상관람가,독립/예술영화
779,장난스런 키스,프랭키 첸,,오드,"오드,(주)홈초이스",2019-03-27,개봉영화,장편,대만,532,3501463050,428009,955732990,112053,멜로/로맨스,12세이상관람가,독립/예술영화
780,해피 데스데이 2 유,크리스토퍼 랜던,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2019-02-14,개봉영화,장편,미국,657,3437809200,412850,942294620,110636,공포(호러),15세이상관람가,일반영화
781,극장판 공룡메카드: 타이니소어의 섬,"최신규,유재운",(주)초이락컨텐츠팩토리,,(주)넥스트엔터테인먼트월드(NEW),2019-01-10,개봉영화,장편,한국,763,3140214420,410131,535720640,66881,애니메이션,전체관람가,일반영화
782,고질라: 킹 오브 몬스터,마이클 도허티,,워너브러더스 코리아(주),워너브러더스 코리아(주),2019-05-29,개봉영화,장편,미국,923,3074785318,357902,859461348,87659,액션,12세이상관람가,일반영화
783,덤보,팀 버튼,,월트디즈니컴퍼니코리아 유한책임회사,월트디즈니컴퍼니코리아 유한책임회사,2019-03-27,개봉영화,장편,미국,797,2775096512,345521,907932642,105909,가족,전체관람가,일반영화
784,러브 유어셀프 인 서울,,"빅히트 엔터테인먼트,씨제이 씨지브이(CJ CGV)(주)",,씨제이 씨지브이(CJ CGV)(주),2019-01-26,개봉영화,장편,한국,224,3209682900,342366,1090468000,112697,공연,전체관람가,일반영화
785,헬보이,닐 마샬,,(주)우성엔터테인먼트,메가박스중앙(주)플러스엠,2019-04-10,개봉영화,장편,미국,726,2776406321,323098,767125181,86763,액션,청소년관람불가,일반영화
786,미성년,김윤석,"(주)영화사레드피터,(주)화이브라더스코리아",,(주)쇼박스,2019-04-11,개봉영화,장편,한국,673,2493769950,293258,856799740,98387,드라마,15세이상관람가,일반영화
787,애나벨 집으로,게리 도버먼,,워너브러더스 코리아(주),워너브러더스 코리아(주),2019-06-26,개봉영화,장편,미국,653,2439165690,291328,585053120,67500,공포(호러),15세이상관람가,일반영화
788,배심원들,홍승완,반짝반짝영화사(주),,CGV아트하우스,2019-05-15,개봉영화,장편,한국,784,2296829090,287141,724211930,86835,드라마,12세이상관람가,일반영화
789,신데렐라:마법 반지의 비밀,린 사우더랜드,,예지림엔터테인먼트,예지림엔터테인먼트,2019-02-20,개봉영화,장편,미국,575,2113630240,284755,367881020,47386,애니메이션,전체관람가,일반영화
790,악질경찰,이정범,"청년필름(주),다이스필름(주)",,워너브러더스 코리아(주),2019-03-20,개봉영화,장편,한국,833,2256615278,262233,543947088,61930,범죄,청소년관람불가,일반영화
791,기묘한 가족,이민재,씨네주 유한회사,,메가박스중앙(주)플러스엠,2019-02-13,개봉영화,장편,한국,625,2062904275,256202,465060345,56391,코미디,12세이상관람가,일반영화
792,메리 포핀스 리턴즈,롭 마샬,,월트디즈니컴퍼니코리아 유한책임회사,월트디즈니컴퍼니코리아 유한책임회사,2019-02-14,개봉영화,장편,미국,573,1816281960,224160,816286900,97070,판타지,전체관람가,일반영화
793,요로나의 저주,마이클 차베즈,,워너브러더스 코리아(주),워너브러더스 코리아(주),2019-04-17,개봉영화,장편,미국,620,1784935221,202756,488301731,53881,공포(호러),15세이상관람가,일반영화
794,어린 의뢰인,장규성,이스트드림시노펙스(주),,롯데컬처웍스(주)롯데엔터테인먼트,2019-05-22,개봉영화,장편,한국,671,1627412600,197612,384417140,44966,드라마,12세이상관람가,일반영화
795,언니,임경택,"필름에이픽쳐스,(유)조이앤시네마",,"(주)제이앤씨미디어그룹,TCO(주)더콘텐츠온",2019-01-01,개봉영화,장편,한국,530,1746373250,197134,360066100,40427,액션,청소년관람불가,일반영화
796,언더독,"오성윤,이춘백",(주)오돌또기,,(주)넥스트엔터테인먼트월드(NEW),2019-01-16,개봉영화,장편,한국,612,1485934830,193484,420191450,50913,애니메이션,전체관람가,일반영화
797,천로역정: 천국을 찾아서,로버트 페르난데스,,(재)CBS,"(재)CBS,주식회사 마운틴픽쳐스",2019-06-13,개봉영화,장편,미국,381,1463645360,191580,278003110,34518,애니메이션,전체관람가,독립/예술영화
798,우상,이수진,"리 공동체 영화사,(주)바른손",,CGV아트하우스,2019-03-20,개봉영화,장편,한국,900,1581839728,183784,534386118,59765,스릴러,15세이상관람가,일반영화
799,비스트,이정호,(주)스튜디오앤뉴,,(주)넥스트엔터테인먼트월드(NEW),2019-06-26,개봉영화,장편,한국,737,1400766040,177340,342474410,41565,범죄,15세이상관람가,일반영화
800,자전차왕 엄복동,김유성,(주)셀트리온엔터테인먼트,,(주)셀트리온엔터테인먼트,2019-02-27,개봉영화,장편,한국,624,1304861670,172212,349815310,44630,드라마,12세이상관람가,일반영화
801,더 페이버릿: 여왕의 여자,요르고스 란티모스,,이십세기폭스코리아(주),이십세기폭스코리아(주),2019-02-21,개봉영화,장편,미국,83,1380191276,164372,831098346,97482,드라마,15세이상관람가,독립/예술영화
802,가버나움,나딘 라바키,,그린나래미디어(주),"그린나래미디어(주),플레이리스트(주)",2019-01-24,개봉영화,장편,기타,111,1179372219,142065,685177439,79905,드라마,15세이상관람가,독립/예술영화
803,0.0MHz,유선동,(주)제이엠컬쳐스,,(주)스마일이엔티,2019-05-29,개봉영화,장편,한국,446,1088258860,137294,213889040,25604,공포(호러),15세이상관람가,일반영화
804,바이스,아담 맥케이,,(주)콘텐츠판다,(주)콘텐츠판다,2019-04-11,개봉영화,장편,미국,241,1144142384,134925,540292584,63132,드라마,15세이상관람가,독립/예술영화
805,명탐정 코난:전율의 악보,야마모토 야스이치로,,씨제이이앤엠(주),씨제이이앤엠(주),2019-02-14,개봉영화,장편,일본,213,890692400,116059,172835800,22143,애니메이션,12세이상관람가,일반영화
806,미래의 미라이,호소다 마모루,,(주)얼리버드픽쳐스,메가박스중앙(주)플러스엠,2019-01-16,개봉영화,장편,일본,508,850022957,104950,287591737,34117,애니메이션,전체관람가,일반영화
807,로켓맨,덱스터 플레처,,롯데컬처웍스(주)롯데엔터테인먼트,롯데컬처웍스(주)롯데엔터테인먼트,2019-06-05,개봉영화,장편,영국,640,898067163,104408,412628773,46681,드라마,15세이상관람가,일반영화
808,공포의 묘지,"케빈 콜쉬,데니스 위드미어",,롯데컬처웍스(주)롯데엔터테인먼트,롯데컬처웍스(주)롯데엔터테인먼트,2019-04-10,개봉영화,장편,미국,564,894409836,102826,229300496,25629,공포(호러),15세이상관람가,일반영화
809,크게 될 놈,강지은,밀짚모자영화사(주),,(주)영화사오원,2019-04-18,개봉영화,장편,한국,447,780915420,102223,146506530,18392,드라마,15세이상관람가,일반영화
810,콜드 체이싱,한스 페터 몰란트,,(유)조이앤시네마,"(주)제이앤씨미디어그룹,TCO(주)더콘텐츠온",2019-02-20,개봉영화,장편,영국,480,777401607,101694,247473807,30216,액션,15세이상관람가,독립/예술영화
811,라스트 미션,클린트 이스트우드,,워너브러더스 코리아(주),워너브러더스 코리아(주),2019-03-14,개봉영화,장편,미국,472,835560639,101293,309786489,37554,드라마,15세이상관람가,일반영화
812,아이 엠 마더,피에르 모렐,,(주)퍼스트런,"(주)삼백상회,(주)팬엔터테인먼트",2019-04-11,개봉영화,장편,미국,213,774580700,94119,264289600,32731,액션,15세이상관람가,일반영화
813,파이브 피트,저스틴 밸도니,,(주)누리픽쳐스,"(주)누리픽쳐스,케이티하이텔(주)",2019-04-10,개봉영화,장편,미국,457,805051420,92713,318561630,35861,드라마,15세이상관람가,일반영화
814,교회오빠,이호경,"KBS,커넥트픽쳐스(주)",,커넥트픽쳐스(주),2019-05-16,개봉영화,장편,한국,200,741940650,92043,245446220,29474,다큐멘터리,전체관람가,독립/예술영화
815,구스 베이비,크리스토퍼 젠킨스,,(주)머스트씨무비릴리징컴퍼니,(주)이수C&E,2019-01-16,개봉영화,장편,미국,424,652090360,91430,110715900,14539,애니메이션,전체관람가,일반영화
816,레고 무비2,마이크 미첼,,워너브러더스 코리아(주),워너브러더스 코리아(주),2019-02-06,개봉영화,장편,미국,442,680374040,88105,182185020,22018,애니메이션,전체관람가,일반영화
817,그대 이름은 장미,조석현,(주)엠씨엠씨,,(주)리틀빅픽쳐스,2019-01-16,개봉영화,장편,한국,540,735782970,88054,231834480,26485,코미디,12세이상관람가,일반영화
818,"어쩌다, 결혼","박호찬,박수진",(주)비에이엔터테인먼트,,CGV아트하우스,2019-02-27,개봉영화,장편,한국,529,586584249,76746,183109419,22596,멜로/로맨스,12세이상관람가,독립/예술영화
819,호텔 뭄바이,앤소니 마라스,,(주)에스와이코마드,"글뫼 주식회사,(주)에스와이코마드",2019-05-08,개봉영화,장편,호주,207,599904700,72950,242021000,29325,스릴러,15세이상관람가,독립/예술영화
820,로망,이창근,"(주)제이지픽쳐스,(주)메이스엔터테인먼트",,(주)메리크리스마스,2019-04-03,개봉영화,장편,한국,405,525645400,72412,134919660,18197,멜로/로맨스,전체관람가,독립/예술영화
821,사탄의 인형,라스 클리브버그,,주식회사 더쿱,(주)이수C&E,2019-06-20,개봉영화,장편,미국,465,540507290,58221,158649500,16706,공포(호러),청소년관람불가,일반영화
822,1919 유관순,신상민,유관순문화산업전문유한회사,,"주식회사 마운틴픽쳐스,케이티하이텔(주)",2019-03-14,개봉영화,장편,한국,269,476403410,57509,149568860,17413,다큐멘터리,12세이상관람가,독립/예술영화
823,왓칭,김성기,(주)스토리공감,,(주)리틀빅픽쳐스,2019-04-17,개봉영화,장편,한국,488,456558262,54410,100830552,11564,공포(호러),15세이상관람가,일반영화
824,콜레트,워시 웨스트모어랜드,,(주)퍼스트런,"(주)넥스트엔터테인먼트월드(NEW),(주)팬엔터테인먼트",2019-03-27,개봉영화,장편,영국,169,409004989,51149,248891499,30789,드라마,15세이상관람가,독립/예술영화
825,빅샤크2: 해저2만리,신우,,(주)히스토리필름,와이드 릴리즈(주),2019-06-06,개봉영화,장편,중국,344,368207920,51065,41575060,5105,애니메이션,전체관람가,일반영화
826,어글리 돌,캘리 애스버리,,판씨네마(주),판씨네마(주),2019-05-01,개봉영화,장편,미국,353,357110870,49509,82282540,10570,애니메이션,전체관람가,독립/예술영화
827,슈퍼미니 2,"토마스 자보,헬레네 지라드",,(주)박수엔터테인먼트,(주)박수엔터테인먼트,2019-02-27,개봉영화,장편,프랑스,345,374780620,48942,96127960,11784,애니메이션,전체관람가,일반영화
828,페이트 스테이 나이트 헤븐즈필 제2장 로스트 버터플라이,스도 토모노리,,(주)애니플러스,(주)애니플러스,2019-03-21,개봉영화,장편,일본,94,397411880,45157,179118880,19707,애니메이션,15세이상관람가,독립/예술영화
829,업사이드,닐 버거,,(주)퍼스트런,(주)디스테이션,2019-06-13,개봉영화,장편,미국,188,361435100,42727,143507900,16962,코미디,12세이상관람가,독립/예술영화
830,쿠르스크,토마스 빈터베르그,,(유)조이앤시네마,"(주)제이앤씨미디어그룹,TCO(주)더콘텐츠온",2019-01-16,개봉영화,장편,벨기에,192,355683500,42484,173141000,21029,드라마,15세이상관람가,일반영화
831,일일시호일,오오모리 타츠시,,(주)영화사 진진,(주)영화사 진진,2019-01-17,개봉영화,장편,일본,55,331259019,41931,201538669,23841,드라마,12세이상관람가,독립/예술영화
832,더 와이프,비욘 룬게,,그린나래미디어(주),(주)팝엔터테인먼트,2019-02-27,개봉영화,장편,영국,106,319839451,41525,190560061,23941,드라마,15세이상관람가,독립/예술영화
833,칠곡 가시나들,김재환,주식회사 단유필름,,"(주)인디플러그,(주)더 피플",2019-02-27,개봉영화,장편,한국,138,334601400,41448,108432500,12980,다큐멘터리,전체관람가,독립/예술영화
834,몬스터 파크,안드레스 코투리어,,(주)일레븐엔터테인먼트,(주)박수엔터테인먼트,2019-01-23,개봉영화,장편,영국,344,275767940,38262,45619200,5733,애니메이션,전체관람가,독립/예술영화
835,세상을 바꾼 변호인,미미 레더,,씨제이이앤엠(주),CGV아트하우스,2019-06-13,개봉영화,장편,미국,185,301963650,38217,159145480,19719,드라마,12세이상관람가,독립/예술영화
836,겨울왕국 2,"크리스 벅,제니퍼 리",,월트디즈니컴퍼니코리아 유한책임회사,월트디즈니컴퍼니코리아 유한책임회사,2019-11-21,개봉영화,장편,미국,2648,111596444720,13369087,27828512460,3113579,애니메이션,전체관람가,일반영화
837,엑시트,이상근,"(주)외유내강,(주)필름케이",,씨제이이앤엠(주),2019-07-31,개봉영화,장편,한국,1660,79232012162,9426011,18533549352,2132869,코미디,12세이상관람가,일반영화
838,스파이더맨: 파 프롬 홈,존 왓츠,,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,2019-07-02,개봉영화,장편,미국,2142,69000711100,8020208,18515112400,2051196,액션,12세이상관람가,일반영화
839,백두산,"이해준,김병서","주식회사 덱스터 픽쳐스,(주)퍼펙트스톰필름,씨제이이앤엠(주)",,"씨제이이앤엠(주),(주)덱스터스튜디오",2019-12-19,개봉영화,장편,한국,1971,52908739070,6290806,11465502430,1318194,어드벤처,12세이상관람가,일반영화
840,조커,토드 필립스,,워너브러더스 코리아(주),워너브러더스 코리아(주),2019-10-02,개봉영화,장편,미국,1418,45380235450,5247794,14670413840,1634834,액션,15세이상관람가,일반영화
841,봉오동 전투,"원신연,이영용","(주)빅스톤픽쳐스,(주)더블유픽처스,(주)쇼박스",,(주)쇼박스,2019-08-07,개봉영화,장편,한국,1476,40514276538,4779501,7782799628,891383,사극,15세이상관람가,일반영화
842,라이온 킹,존 파브로,,월트디즈니컴퍼니코리아 유한책임회사,월트디즈니컴퍼니코리아 유한책임회사,2019-07-17,개봉영화,장편,미국,1936,41518977430,4743184,11620751790,1218042,어드벤처,전체관람가,일반영화
843,나쁜 녀석들: 더 무비,손용호,"씨제이이앤엠(주),(주)영화사비단길",,씨제이이앤엠(주),2019-09-11,개봉영화,장편,한국,1511,39560195124,4573902,8008441184,905239,범죄,15세이상관람가,일반영화
844,82년생 김지영,김도영,(주)봄바람영화사,,롯데컬처웍스(주)롯데엔터테인먼트,2019-10-23,개봉영화,장편,한국,1486,30298542310,3678156,8396050370,994663,드라마,12세이상관람가,일반영화
845,분노의 질주: 홉스&쇼,데이빗 레이치,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2019-08-14,개봉영화,장편,미국,1311,32241767793,3657536,7717831533,839251,액션,12세이상관람가,일반영화
846,가장 보통의 연애,김한결,영화사 집,,(주)넥스트엔터테인먼트월드(NEW),2019-10-02,개봉영화,장편,한국,1073,24822316930,2917213,6614922790,753953,멜로/로맨스,15세이상관람가,일반영화
847,시동,최정열,(주)외유내강,,(주)넥스트엔터테인먼트월드(NEW),2019-12-18,개봉영화,장편,한국,1515,21237632100,2526118,4649112780,536158,드라마,15세이상관람가,일반영화
848,블랙머니,정지영,"유한회사 질라라비,(주)아우라픽처스",,(주)에이스메이커무비웍스,2019-11-13,개봉영화,장편,한국,1117,20744296510,2464978,5030225390,578800,범죄,12세이상관람가,일반영화
849,터미네이터: 다크 페이트,팀 밀러,,월트디즈니컴퍼니코리아 유한책임회사,월트디즈니컴퍼니코리아 유한책임회사,2019-10-30,개봉영화,장편,미국,1315,20153895830,2409062,5463141420,622505,액션,15세이상관람가,일반영화
850,타짜: 원 아이드 잭,권오광,"(주)싸이더스,(주)엠씨엠씨,(주)비에이엔터테인먼트",,롯데컬처웍스(주)롯데엔터테인먼트,2019-09-11,개봉영화,장편,한국,1429,19673441214,2227671,4585277834,513548,범죄,청소년관람불가,일반영화
851,신의 한 수: 귀수편,리건,"(주)메이스엔터테인먼트,(주)아지트필름",,씨제이이앤엠(주),2019-11-07,개봉영화,장편,한국,1246,18390976550,2146766,4084690170,463426,범죄,15세이상관람가,일반영화
852,변신,김홍선,(주)다나크리에이티브,,(주)에이스메이커무비웍스,2019-08-21,개봉영화,장편,한국,975,15417922925,1804112,3329066895,375676,공포(호러),15세이상관람가,일반영화
853,사자,김주환,(주)키이스트,,롯데컬처웍스(주)롯데엔터테인먼트,2019-07-31,개봉영화,장편,한국,1405,12917306145,1609737,3155811715,380265,미스터리,15세이상관람가,일반영화
854,말레피센트 2,요아킴 뢰닝,,월트디즈니컴퍼니코리아 유한책임회사,월트디즈니컴퍼니코리아 유한책임회사,2019-10-17,개봉영화,장편,미국,1108,12191395690,1444952,3153886600,352835,어드벤처,12세이상관람가,일반영화
855,유열의 음악앨범,정지우,"(주)무비락,정지우 필름,필름봉옥",,CGV아트하우스,2019-08-28,개봉영화,장편,한국,1078,10233455040,1245532,2970923290,346201,멜로/로맨스,12세이상관람가,일반영화
856,포드 V 페라리,제임스 맨골드,,월트디즈니컴퍼니코리아 유한책임회사,월트디즈니컴퍼니코리아 유한책임회사,2019-12-04,개봉영화,장편,미국,986,10552197680,1202394,3815040750,416331,액션,12세이상관람가,일반영화
857,"힘을 내요, 미스터 리",이계벽,"(주)용필름,(주)덱스터스튜디오",,(주)넥스트엔터테인먼트월드(NEW),2019-09-11,개봉영화,장편,한국,990,9887863906,1176076,1965170736,229545,코미디,12세이상관람가,일반영화
858,퍼펙트맨,용수,"(주)맨필름,(주)쇼박스",,(주)쇼박스,2019-10-02,개봉영화,장편,한국,894,9604139750,1144894,1544313980,178228,코미디,15세이상관람가,일반영화
859,장사리 : 잊혀진 영웅들,"곽경택,김태훈",(주)태원엔터테인먼트,,워너브러더스 코리아(주),2019-09-25,개봉영화,장편,한국,1090,8997921050,1140876,1699010620,208596,전쟁,12세이상관람가,일반영화
860,마이펫의 이중생활 2,크리스 리노드,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2019-07-31,개봉영화,장편,미국,933,8512830825,1114941,1937926035,239636,애니메이션,전체관람가,일반영화
861,쥬만지: 넥스트 레벨,제이크 캐스단,,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,2019-12-11,개봉영화,장편,미국,1195,8774705410,1054968,2201988140,252836,액션,12세이상관람가,일반영화
