,title,director,distributor,distributor_group,release_date,release_season,release,form,nation,screen,rev_nationwide,aud_nationwide,rev_seoul,rev_seoul.1,genre,rate,type,expert_rating,starring_actors,running_times,audience_rating,rating_audiences,realease_year,director_power,sequel,original,actor_power,director_count,director_movie_count,actor_movie_count,log_aud,before_news,after_news,holiday,dist_cat
38,홈,팀 존슨,씨제이이앤엠(주),A,20150521,spring,개봉영화,장편,미국,532,2691338791,360445,649663691,83379,애니메이션,전체관람가,일반영화,6.56,"짐 파슨스,리아나,제니퍼 로페즈",94,8.260869565,207,2015,0,0,0,1648070,1,0,1,12.79509466,0,1,0,A
39,경성학교: 사라진 소녀들,이해영,롯데쇼핑㈜롯데엔터테인먼트,A,20150618,summer,개봉영화,장편,한국,489,2710740700,351208,715075900,88741,미스터리,15세이상관람가,일반영화,6.75,"박보영,엄지원,박소담",99,6.721088435,294,2015,0,0,0,10387634,1,0,9,12.76913392,819,431,0,A
40,아메리칸 스나이퍼,클린트 이스트우드,워너브러더스 코리아(주),B,20150114,winter,개봉영화,장편,미국,308,2800001438,344766,1052863738,126890,액션,청소년관람불가,일반영화,7.25,"브래들리 쿠퍼,시에나 밀러,제이크 맥더맨",132,8.669902913,206,2015,0,1,0,1767333,1,0,7,12.75062121,23,150,0,B
41,호빗: 다섯 군대 전투,피터 잭슨,워너브러더스 코리아(주),B,20141217,winter,개봉영화,장편,미국,926,2840004341,326887,1007967441,104765,어드벤처,12세이상관람가,일반영화,6.42,"마틴 프리먼,이안 맥켈런,리처드 아미티지",144,8.620253165,1185,2014,4721002,1,1,7546878,1,2,4,12.69736982,57,179,0,B
42,스폰지밥 3D,폴 티비트,씨제이이앤엠(주),A,20150218,winter,개봉영화,장편,미국,357,2458946200,325016,512218000,65131,애니메이션,전체관람가,일반영화,5.5,"전태열,이인성,안토니오 반데라스",92,7.947826087,345,2015,0,1,0,2232404,1,0,4,12.69162969,57,63,1,A
43,주피터 어센딩,"라나 워쇼스키,릴리 워쇼스키",워너브러더스 코리아(주),B,20150205,winter,개봉영화,장편,미국,561,2685741879,309729,832233679,89787,SF,12세이상관람가,일반영화,4.75,"밀라 쿠니스,채닝 테이텀,숀 빈",127,6.739495798,119,2015,898142,0,0,2583354,2,2,8,12.643453,64,186,0,B
44,패딩턴,폴 킹,롯데쇼핑㈜롯데엔터테인먼트,A,20150107,winter,개봉영화,장편,영국,408,2246424729,305100,646094129,84276,코미디,전체관람가,일반영화,6.64,"벤 위쇼,니콜 키드먼,휴 보네빌",95,8.754716981,265,2015,0,1,0,1144385,1,0,7,12.62839487,21,135,0,A
45,오즈의 마법사: 돌아온 도로시,"윌 핀,댄 세인트 피에르",(주)박수엔터테인먼트,D,20150212,winter,개봉영화,장편,미국,330,2175321000,298298,518209900,68014,애니메이션,전체관람가,독립/예술영화,6,"박지윤,김하영,신용우",91,8.049382716,162,2015,0,1,0,47204,2,0,2,12.60584827,22,66,0,C
46,런 올 나이트,자움 콜렛 세라,워너브러더스 코리아(주),B,20150319,spring,개봉영화,장편,미국,411,2293671495,289534,623115595,76106,액션,청소년관람불가,일반영화,5.94,"리암 니슨,조엘 킨나만,에드 해리스",114,8.026086957,115,2015,2084457,0,0,17046553,1,1,10,12.57602801,29,127,0,B
47,다이노 타임,"최윤석,존 카프카",씨제이이앤엠(주),A,20150430,spring,개봉영화,장편,한국,430,2099627100,283292,405724600,52818,애니메이션,전체관람가,일반영화,0,"멜라니 그리피스,제인 린치,윌리암 볼드윈",85,8.539370079,254,2015,0,0,0,0,2,0,0,12.55423345,24,111,0,A
48,인서전트,로베르트 슈벤트케,롯데쇼핑㈜롯데엔터테인먼트,A,20150325,spring,개봉영화,장편,미국,480,2158449889,282662,650066489,81654,SF,15세이상관람가,일반영화,5,"쉐일린 우들리,테오 제임스,케이트 윈슬렛",119,7.433962264,159,2015,101460,1,1,2251229,1,1,7,12.55200712,80,172,0,A
49,소수의견,김성제,(주)시네마서비스,D,20150624,summer,개봉영화,장편,한국,398,2015282936,268255,692212236,90111,드라마,15세이상관람가,일반영화,7.18,"윤계상,유해진,김옥빈",126,9.085,200,2015,0,1,0,17753412,1,0,9,12.4996933,1522,498,0,C
50,백 투 더 비기닝,딘 이스라엘리트,롯데쇼핑㈜롯데엔터테인먼트,A,20150226,winter,개봉영화,장편,미국,423,2016298400,266389,586021800,74127,SF,15세이상관람가,일반영화,4,"조니 웨스턴,소피아 블랙 디엘리아,샘 러너",106,7.68907563,119,2015,0,0,0,0,1,0,0,12.49271293,25,116,0,A
51,투모로우랜드,브래드 버드,월트디즈니컴퍼니코리아(주),B,20150527,spring,개봉영화,장편,미국,435,2082869000,265744,682335600,83016,액션,12세이상관람가,일반영화,5.5,"조지 클루니,휴 로리,브릿 로버트슨",129,7.915384615,130,2015,0,0,0,116172,1,0,2,12.49028872,42,112,0,B
52,개를 훔치는 완벽한 방법,김성호,"(주)리틀빅픽쳐스,(주)대명문화공장",D,20141231,winter,개봉영화,장편,한국,205,2018597565,262943,667976565,84221,드라마,전체관람가,독립/예술영화,7.04,"이레,이지원,홍은택",109,8.664556962,158,2014,493622,1,0,0,1,2,0,12.47969256,180,164,0,C
53,명탐정 코난 : 코난 실종사건 - 사상 최악의 이틀,야마모토 야스이치로,씨제이이앤엠(주),A,20150212,winter,개봉영화,장편,일본,187,1885543600,257381,356320500,48679,애니메이션,12세이상관람가,일반영화,5,"김선혜,강수진,이현진",92,8.571428571,7,2015,1273318,1,1,2174394,1,4,7,12.45831276,11,38,0,A
54,언브로큰,안젤리나 졸리,유니버설픽쳐스인터내셔널 코리아(유),B,20150107,winter,개봉영화,장편,미국,401,1997947292,256475,605776392,75489,액션,15세이상관람가,일반영화,5.33,"잭 오코넬,도널 글리슨,가렛 헤드룬드",137,8.067164179,134,2015,0,1,0,2892009,1,0,2,12.45478647,65,168,0,B
55,소셜포비아,홍석재,CGV아트하우스,A,20150312,spring,개봉영화,장편,한국,368,1950635763,248215,551485163,67072,스릴러,15세이상관람가,독립/예술영화,7.18,"변요한,이주승,류준열",102,7.655555556,90,2015,0,0,0,5503296,1,0,4,12.42205059,190,286,0,A
56,극장판 포켓몬스터 XY : 파괴의 포켓몬과 디안시,유야마 쿠니히코,롯데쇼핑㈜롯데엔터테인먼트,A,20150114,winter,개봉영화,장편,일본,360,1653084000,233347,385135900,52427,애니메이션,전체관람가,일반영화,6,"조현정,이선호,마츠모토 리카",98,8.552301255,239,2015,729645,1,1,1723043,1,4,6,12.3602819,10,40,0,A
57,언프렌디드: 친구삭제,레오 가브리아제,유니버설픽쳐스인터내셔널 코리아(유),B,20150507,spring,개봉영화,장편,미국,386,1643911941,219678,347479141,45233,공포,15세이상관람가,일반영화,6,"헤더 소서맨,쉘리 헨닝,모세 제이콥 스톰",83,5.173333333,75,2015,0,0,0,0,1,0,0,12.29991812,17,103,0,B
58,노아의 방주: 남겨진 녀석들,토비 젠켈,씨네그루(주)다우기술,B,20150430,spring,개봉영화,장편,기타,436,1586417300,219621,362928700,48437,애니메이션,전체관람가,일반영화,6.16,"김하영,배진홍,윤세웅",85,8.408866995,203,2015,0,0,0,77624,1,0,2,12.29965861,27,84,0,B
59,연애의 맛,김아론,"(주)와우픽쳐스,(주)쇼박스",D,20150507,spring,개봉영화,장편,한국,398,1706805153,212154,382376253,45698,멜로/로맨스,청소년관람불가,일반영화,5,"오지호,강예원",101,8.14953271,107,2015,0,0,0,527136,1,0,2,12.26506771,1418,344,0,C
60,버드맨,알레한드로 곤잘레스 이냐리투,이십세기폭스코리아(주),B,20150305,spring,개봉영화,장편,미국,380,1653103800,204742,855370200,103328,코미디,청소년관람불가,일반영화,8.1,"마이클 키튼,에드워드 노튼,엠마 스톤",119,8.532051282,156,2015,0,0,0,8099449,1,0,6,12.22950593,165,279,0,B
61,기생수 파트1,야마자키 타카시,판씨네마(주),D,20150226,winter,개봉영화,장편,일본,247,1534923185,186184,438111585,51401,스릴러,청소년관람불가,일반영화,5.5,"소메타니 쇼타,아베 사다오,후카츠 에리",110,8.262068966,145,2015,0,1,0,8741,1,0,2,12.13449071,12,57,0,C
62,인터스텔라,크리스토퍼 놀란,워너브러더스 코리아(주),B,20141106,autumn,개봉영화,장편,미국,1342,1619640900,170235,884774800,92474,SF,12세이상관람가,일반영화,7.9,"매튜 맥커너히,앤 해서웨이,마이클 케인",169,9.280903328,2524,2014,6396528,0,0,13474490,1,1,4,12.04493511,157,1143,0,B
63,최강전사 미니특공대 : 새로운 악당의 습격,이영준,에이원엔터테인먼트,D,20150205,winter,개봉영화,장편,한국,318,1163431200,154342,220766300,27906,애니메이션,전체관람가,일반영화,0,"엄상현,전태열,신용우",60,7.558252427,206,2015,0,1,0,211248,1,0,6,11.9469262,5,13,0,C
64,아메리칸 셰프,존 파브로,(주)영화사 진진,D,20150107,winter,개봉영화,장편,미국,111,1240660929,151833,787266129,95079,코미디,15세이상관람가,독립/예술영화,6.25,"존 파브로,엠제이 안소니,소피아 베르가라",114,8.85106383,94,2015,0,1,0,9001144,1,0,1,11.93053651,15,21,0,C
65,짱구는 못말려 극장판 : 정면승부! 로봇아빠의 역습,타카하시 와타루,(주)이수C&E,B,20150423,spring,개봉영화,장편,일본,372,1085388600,150226,171433200,22562,애니메이션,전체관람가,일반영화,7,"야지마 아키코,나라하시 미키,후지와라 케이지",97,8.573333333,75,2015,0,1,1,820828,1,0,4,11.91989611,10,51,0,B
66,워킹걸,정범식,메가박스중앙(주)플러스엠,A,20150107,winter,개봉영화,장편,한국,308,1183887479,149181,389163479,49874,코미디,청소년관람불가,일반영화,3.75,"조여정,클라라,김태우",112,7.203703704,108,2015,824183,1,0,24500777,1,2,7,11.91291561,177,574,0,A
67,은밀한 유혹,윤재구,씨제이이앤엠(주),A,20150604,summer,개봉영화,장편,한국,394,1112273247,142375,353352647,43475,멜로/로맨스,15세이상관람가,일반영화,3.71,"임수정,유연석",110,7.275,80,2015,0,1,0,16859755,1,0,9,11.8662197,1878,320,0,A
68,화장,임권택,(주)리틀빅픽쳐스,D,20150409,spring,개봉영화,장편,한국,327,1059405100,140616,338077900,43757,드라마,청소년관람불가,독립/예술영화,6.78,"안성기,김규리,김호정",94,7.636363636,44,2015,0,1,0,9597061,1,0,7,11.85378805,1643,477,0,C
