,title,director,producer,importer,distributor,distributor_group,release_date,release_season,release,form,nation,screen,rev_nationwide,rev_seoul,rev_seoul.1,genre,rate,type,expert_rating,starring_actors,running_times,audience_rating,rating_audiences,realease_year,director_power,director_movie_num,sequel,original,actor_power
900,안나,뤽 베송,,판씨네마(주),판씨네마(주),D,8/28/2019,summer,개봉영화,장편,프랑스,431,946058240.0,388815480,45770,액션,15세이상관람가,일반영화,5.0,"사샤 루스,킬리언 머피,루크 에반스",119,8.277777777999999,54,2019,5161781.0,3 [3],0,0,31874086
853,사자,김주환,(주)키이스트,,롯데컬처웍스(주)롯데엔터테인먼트,A,7/31/2019,summer,개봉영화,장편,한국,1405,12917306145.0,3155811715,380265,미스터리,15세이상관람가,일반영화,4.78,"박서준,안성기,우도환",129,8.244784422999999,719,2019,12882255.0,2 [2],0,0,43530784
119,대호,박훈정,(주)사나이픽처스,,(주)넥스트엔터테인먼트월드(NEW),C,12/16/2015,winter,개봉영화,장편,한국,892,12104808332.0,2802652706,352415,사극,12세이상관람가,일반영화,7.08,최민식,139,8.371273712999999,738,2015,12181628.0,3 [3],0,0,77982965
177,보루토 - 나루토 더 무비,야마시타 히로유키,,애니박스 엔터테인먼트,와이드 릴리즈(주),D,12/10/2015,winter,개봉영화,장편,일본,219,475552400.0,134933800,17676,애니메이션,12세이상관람가,일반영화,0.0,"산페이 유코,키쿠치 코코로,타케우치 준코",95,9.707792207999999,154,2015,63954.0,1 [1],1,1,507912
722,베일리 어게인,라세 할스트롬,,(주)선익필름,(주)홈초이스,C,11/22/2018,autumn,개봉영화,장편,미국,189,796864900.0,314266200,35522,어드벤처,전체관람가,독립/예술영화,5.4,"조시 게드,데니스 퀘이드,K.J. 아파",100,9.442553191,235,2018,1214936.0,2 [2],0,0,42008060
284,파라노말 액티비티: 더 고스트 디멘션,그레고리 플로킨,,(주)다자인소프트,(주)박수엔터테인먼트,D,4/21/2016,spring,개봉영화,장편,미국,353,454055200.0,129982200,15254,미스터리,15세이상관람가,일반영화,3.0,"크리스 J. 머레이,브릿 쇼,아이비 조지",88,6.55,40,2016,54972.0,1 [1],0,1,329832
340,서울역,연상호,"주식회사 다다쇼,(주)화인컷",,(주)넥스트엔터테인먼트월드(NEW),C,8/17/2016,summer,개봉영화,장편,한국,440,1157200562.0,364877762,44396,애니메이션,15세이상관람가,독립/예술영화,6.92,"류승룡,심은경,이준",93,5.224334601,263,2016,35729066.0,3 [3],1,1,364936261
13,오늘의 연애,박진표,(주)팝콘에프앤엠,,씨제이이앤엠(주),A,1/14/2015,winter,개봉영화,장편,한국,709,14924654487.0,3951958987,480061,멜로/로맨스,15세이상관람가,일반영화,4.0,"이승기,문채원,이서진",118,8.060514372,661,2015,1891993.0,1 [1],0,0,81655172
227,계춘할망,창,"지오엔터테인먼트,(주)퍼플켓츠필름,(주)빅스토리픽쳐스",,(주)콘텐츠 난다긴다,D,5/19/2016,spring,개봉영화,장편,한국,526,3565007348.0,848101748,109124,드라마,15세이상관람가,일반영화,6.16,"윤여정,김고은",116,8.732394366,355,2016,3319476.0,1 [1],0,0,86340422
843,나쁜 녀석들: 더 무비,손용호,"씨제이이앤엠(주),(주)영화사비단길",,씨제이이앤엠(주),A,9/11/2019,autumn,개봉영화,장편,한국,1511,39560195124.0,8008441184,905239,범죄,15세이상관람가,일반영화,4.83,"마동석,김상중,김아중",114,8.485527544,1071,2019,5429882.0,2 [2],0,1,284560713
318,인페르노,론 하워드,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),B,10/19/2016,autumn,개봉영화,장편,미국,754,5656281303.0,1920944703,224942,미스터리,15세이상관람가,일반영화,4.67,"톰 행크스,펠리시티 존스,벤 포스터",121,8.2,610,2016,4302393.0,3 [3],1,1,39444273
779,장난스런 키스,프랭키 첸,,오드,"오드,(주)홈초이스",D,3/27/2019,spring,개봉영화,장편,기타,532,3501463050.0,955732990,112053,멜로/로맨스,12세이상관람가,독립/예술영화,4.75,"왕대륙,임윤",122,8.566666667,240,2019,1239593.0,2 [2],0,0,16706
567,데드풀 2,데이빗 레이치,,이십세기폭스코리아(주),이십세기폭스코리아(주),B,5/16/2018,spring,개봉영화,장편,미국,1576,34174783339.0,10750085639,1144469,액션,청소년관람불가,일반영화,5.86,"라이언 레이놀즈,조슈 브롤린,재지 비츠",117,9.184284617000001,3907,2018,12043900.0,4 [4],1,1,194540501
846,가장 보통의 연애,김한결,영화사 집,,(주)넥스트엔터테인먼트월드(NEW),C,10/2/2019,autumn,개봉영화,장편,한국,1073,24822316930.0,6614922790,753953,멜로/로맨스,15세이상관람가,일반영화,6.33,"김래원,공효진",109,8.914076782,547,2019,2917213.0,1 [1],0,0,50692235
457,오두막,스튜어트 하젤딘,,판씨네마(주),판씨네마(주),D,4/20/2017,spring,개봉영화,장편,미국,396,559079300.0,281508200,35423,드라마,12세이상관람가,독립/예술영화,4.0,"샘 워싱턴,옥타비아 스펜서,라다 미첼",132,8.492537313,67,2017,72849.0,1 [1],1,0,7595372
549,극장판 파워레인저: 애니멀포스 VS 닌자포스 미래에서 온 메시지,타케모토 노보루,,대원미디어(주),(주)넥스트엔터테인먼트월드(NEW),C,11/9/2017,autumn,개봉영화,장편,일본,370,501257700.0,113064100,13908,액션,전체관람가,일반영화,0.0,"나카오 마사키,야나기 미키,난바 쇼헤이",58,8.866666667,60,2017,65895.0,1 [1],1,1,0
522,빅풋 주니어,"제레미 드그루손,벤 스타센",,"(주)퍼스트런,유니콘미디어(주)",(주)이수C&E,B,8/9/2017,summer,개봉영화,장편,기타,437,2245548900.0,451385400,60164,애니메이션,전체관람가,독립/예술영화,0.0,"우정신,임채헌",92,8.88,100,2017,2272485.0,"4 [1, 3]",0,0,3939137
459,패트리어트 데이,피터 버그,,"(주)비트윈에프앤아이,(주)미니엄쇼",(주)이수C&E,B,4/6/2017,spring,개봉영화,장편,미국,375,521471618.0,173633018,21365,드라마,15세이상관람가,일반영화,5.0,마크 월버그,133,9.025316456,158,2017,915475.0,3 [3],1,0,24593332
488,저스티스 리그,잭 스나이더,,워너브러더스 코리아(주),워너브러더스 코리아(주),B,11/15/2017,autumn,개봉영화,장편,미국,1308,14629677795.0,4549730995,524158,액션,12세이상관람가,일반영화,5.83,"벤 애플렉,갤 가돗,제이슨 모모아",120,8.01030303,1650,2017,8426762.0,2 [2],1,1,53621322
199,아가씨,박찬욱,"유한회사 아가씨에프에스,(주)모호필름,(주)용필름",,씨제이이앤엠(주),A,6/1/2016,summer,개봉영화,장편,한국,1171,34016141691.0,10420706771,1229339,스릴러,청소년관람불가,일반영화,7.68,"김민희,김태리,하정우",144,7.559087205,3681,2016,386200.0,1 [1],1,0,496420797
817,그대 이름은 장미,조석현,(주)엠씨엠씨,,(주)리틀빅픽쳐스,D,1/16/2019,winter,개봉영화,장편,한국,540,735782970.0,231834480,26485,코미디,12세이상관람가,일반영화,6.5,"유호정,박성웅,오정세",126,7.847457627000001,59,2019,88054.0,1 [1],0,0,38935258
783,덤보,팀 버튼,,월트디즈니컴퍼니코리아 유한책임회사,월트디즈니컴퍼니코리아 유한책임회사,B,3/27/2019,spring,개봉영화,장편,미국,797,2775096512.0,907932642,105909,판타지,전체관람가,일반영화,6.0,"콜린 파렐,마이클 키튼,대니 드비토",111,9.252129472,587,2019,6578341.0,3 [3],0,1,85315077
129,열정같은소리하고있네,정기훈,반짝반짝영화사(주),,(주)넥스트엔터테인먼트월드(NEW),C,11/25/2015,autumn,개봉영화,장편,한국,566,4758959902.0,1349304002,176766,드라마,15세이상관람가,일반영화,5.47,"정재영,박보영",106,8.036036036,333,2015,2380561.0,1 [1],1,0,63837509
90,기생수 파트2,야마자키 타카시,,판씨네마(주),판씨네마(주),D,5/7/2015,spring,개봉영화,장편,일본,260,502071959.0,162446959,19447,SF,청소년관람불가,일반영화,7.17,"소메타니 쇼타,아베 사다오,후카츠 에리",118,7.8,55,2015,2255313.0,3 [3],1,1,4528571
824,콜레트,워시 웨스트모어랜드,,(주)퍼스트런,"(주)넥스트엔터테인먼트월드(NEW),(주)팬엔터테인먼트",C,3/27/2019,spring,개봉영화,장편,영국,169,409004989.0,248891499,30789,드라마,15세이상관람가,독립/예술영화,6.0,"키이라 나이틀리,도미닉 웨스트",112,8.773109244,119,2019,273159.0,2 [2],0,0,13894543
126,하트 오브 더 씨,론 하워드,,워너브러더스 코리아(주),워너브러더스 코리아(주),B,12/3/2015,winter,개봉영화,장편,미국,535,6776484023.0,2010066023,226889,액션,12세이상관람가,일반영화,6.45,"크리스 헴스워스,킬리언 머피,벤 위쇼",121,8.3125,240,2015,4302393.0,3 [3],1,0,306671823
279,트럼보,제이 로치,,그린나래미디어(주),"그린나래미디어(주),(주)프레인글로벌",D,4/7/2016,spring,개봉영화,장편,미국,310,462652100.0,235668600,29659,드라마,15세이상관람가,독립/예술영화,7.6,"브라이언 크랜스톤,다이안 레인,헬렌 미렌",124,8.641025641,39,2016,58784.0,1 [1],1,0,20169203
163,셀프/리스,타셈 싱,,블루미지,(주)이수C&E,B,9/10/2015,autumn,개봉영화,장편,미국,340,874447764.0,292812964,35675,SF,15세이상관람가,일반영화,5.17,"라이언 레이놀즈,매튜 구드,벤 킹슬리",117,7.945652174,92,2015,687277.0,1 [1],0,0,92382758
111,앤트맨,페이튼 리드,,월트디즈니컴퍼니코리아(주),월트디즈니컴퍼니코리아(주),B,9/3/2015,autumn,개봉영화,장편,미국,949,23502249937.0,7332839937,840337,액션,12세이상관람가,일반영화,7.09,"폴 러드,마이클 더글라스,에반젤린 릴리",117,8.691348402000001,1283,2015,11127668.0,2 [2],1,0,67216268
652,벅스 프렌즈,딩 스,,(주)스톰픽쳐스코리아,(주)스톰픽쳐스코리아,D,6/6/2018,summer,개봉영화,장편,기타,262,275901700.0,50122200,6065,애니메이션,전체관람가,독립/예술영화,0.0,"김소희,윤세웅,석승훈",75,8.179487179,78,2018,35919.0,1 [1],0,0,2936110
706,바울,앤드류 하얏트,,(재)CBS,(재)CBS,C,10/31/2018,autumn,개봉영화,장편,미국,227,2100137400.0,673491800,82348,드라마,15세이상관람가,독립/예술영화,5.0,"제임스 폴크너,제임스 카비젤",107,9.439655172,116,2018,267785.0,1 [1],0,1,0
372,극장판 도라에몽: 신 진구의 버스 오브 재팬,야쿠와 신노스케,,대원미디어(주),(주)넥스트엔터테인먼트월드(NEW),C,12/21/2016,winter,개봉영화,장편,일본,282,453920100.0,106368900,12969,애니메이션,전체관람가,일반영화,0.0,"채민지,김정아,최낙윤",103,8.975806452,124,2016,225239.0,1 [1],1,1,1239740
889,엔젤 해즈 폴른,릭 로먼 워,,(주)우성엔터테인먼트,메가박스중앙(주)플러스엠,A,11/13/2019,autumn,개봉영화,장편,미국,601,1479789022.0,473592882,55235,액션,15세이상관람가,일반영화,5.0,"제라드 버틀러,모건 프리먼",121,9.256410256,78,2019,184421.0,1 [1],1,0,32434270
