영화명,감독,제작사,수입사,배급사,개봉일,영화유형,영화형태,국적,전국스크린수,전국매출액,전국관객수,서울매출액,서울관객수,장르,등급,영화구분
타임 체인저,리치 크리스티아노,,(주)시네마리퍼블릭,(주)시네마리퍼블릭,2016-12-29,개봉영화,장편,미국,1,3000,1,0,0,SF,12세이상관람가,일반영화
타투이스트,"데본 다운즈,케니 게이지",,(주)무브먼트 픽쳐스,(주)무브먼트 픽쳐스,2016-07-21,개봉영화,장편,미국,1,3000,1,0,0,공포(호러),청소년관람불가,일반영화
터널 오브 에어리언,오클라호마 워드,,(주)시네마리퍼블릭,(주)시네마리퍼블릭,2016-07-28,개봉영화,장편,미국,1,3000,1,0,0,SF,청소년관람불가,일반영화
터미너스: 인류 멸망의 시작,마크 퓌르미,,(주)도키엔터테인먼트,(주)도키엔터테인먼트,2016-07-06,개봉영화,장편,미국,1,8000,1,0,0,액션,15세이상관람가,일반영화
터져버린 마사지 부인,테이 쟈가,,(주)도키엔터테인먼트,(주)도키엔터테인먼트,2016-08-01,개봉영화,장편,일본,1,8000,1,0,0,성인물(에로),청소년관람불가,일반영화
터질듯한 거유 신혼녀,우수바시 수이,,(주)도키엔터테인먼트,(주)도키엔터테인먼트,2016-11-01,개봉영화,장편,일본,1,8000,1,0,0,성인물(에로),청소년관람불가,일반영화
토니 탱고,마놀로 첼리,,(주)나우콘텐츠,(주)나우콘텐츠,2016-11-24,개봉영화,장편,미국,1,8000,1,0,0,코미디,12세이상관람가,일반영화
트럭걸 사야,케이치 후지와라,,(주)영진크리에이티브,(주)영진크리에이티브,2016-10-07,개봉영화,장편,일본,1,5000,1,0,0,멜로/로맨스,청소년관람불가,일반영화
특별한 맛 - 미시女(녀),긴다이치 코고로,,(주)플라이어,(주)플라이어,2016-11-03,개봉영화,장편,일본,1,8000,1,0,0,성인물(에로),청소년관람불가,일반영화
특수부대 사이보그 솔저,그리프 퍼스트,,(주)케이알씨지,(주)케이알씨지,2016-07-07,개봉영화,장편,미국,1,5000,1,0,0,액션,청소년관람불가,일반영화
파라노말 드라이브,올레그 아사두린,,(주)컴퍼니엘,(주)컴퍼니엘,2016-08-18,개봉영화,장편,러시아,1,3000,1,0,0,공포(호러),청소년관람불가,독립/예술영화
파칭코 엔젤: 복수의 정사,아이바 토모아키,,(주)모멘텀엔터테인먼트,(주)모멘텀엔터테인먼트,2016-12-14,개봉영화,장편,일본,1,6000,1,0,0,성인물(에로),청소년관람불가,일반영화
파칭코 엔젤: 은밀한 밀회,아이바 토모아키,,(주)모멘텀엔터테인먼트,(주)모멘텀엔터테인먼트,2016-10-21,개봉영화,장편,일본,1,6000,1,0,0,성인물(에로),청소년관람불가,일반영화
폭유! 가정교사,쿠보데라 카즈히토,,(주)도키엔터테인먼트,(주)도키엔터테인먼트,2016-09-13,개봉영화,장편,일본,1,8000,1,0,0,성인물(에로),청소년관람불가,일반영화
플레이스 인 헬,데이비드 부어부어,,(주)제이에이와이이엔터테인먼트,(주)제이에이와이이엔터테인먼트,2016-07-14,개봉영화,장편,미국,1,5000,1,5000,1,공포(호러),청소년관람불가,일반영화
피곤한 남편 대신 출장서비스,슈우키,,(주)도키엔터테인먼트,(주)도키엔터테인먼트,2016-07-20,개봉영화,장편,일본,1,8000,1,0,0,성인물(에로),청소년관람불가,일반영화
피해자,크리스 아벨,,(주)제이에이와이이엔터테인먼트,(주)제이에이와이이엔터테인먼트,2016-07-14,개봉영화,장편,캐나다,1,5000,1,5000,1,공포(호러),청소년관람불가,일반영화
하숙집 누나의 욕정,카에데,,(주)영진크리에이티브,(주)영진크리에이티브,2016-12-19,개봉영화,장편,일본,1,5000,1,0,0,멜로/로맨스,청소년관람불가,일반영화
하숙집 러브스토리,카에데,,(주)영진크리에이티브,(주)영진크리에이티브,2016-12-23,개봉영화,장편,일본,1,5000,1,0,0,멜로/로맨스,청소년관람불가,일반영화
하숙집 미망인: 그룹섹스,카에데,,(주)영진크리에이티브,(주)영진크리에이티브,2016-09-23,개봉영화,장편,일본,1,5000,1,0,0,멜로/로맨스,청소년관람불가,일반영화
하우 투 플랜 언 오지 인 어 스몰 타운,제레미 라론드,,(주)퍼스트런,(주)퍼스트런,2016-11-14,개봉영화,장편,캐나다,1,5000,1,0,0,코미디,청소년관람불가,일반영화
학부형과 이성을 잃을때,에노모토 토시로,,(주)도키엔터테인먼트,(주)도키엔터테인먼트,2016-12-29,개봉영화,장편,일본,1,8000,1,0,0,성인물(에로),청소년관람불가,일반영화
핫섹토크 무삭제 감독판,이전,(주)케이알씨지,,(유)조이앤컨텐츠그룹,2016-07-21,개봉영화,장편,한국,1,3000,1,0,0,멜로/로맨스,청소년관람불가,일반영화
헨젤과 그레텔 2,벤 드마리,,(주)케이알씨지,(주)케이알씨지,2016-11-24,개봉영화,장편,미국,1,4000,1,0,0,공포(호러),청소년관람불가,일반영화
헬릭스,에릭 피티,,주식회사 레드아이스,주식회사 레드아이스,2016-12-09,개봉영화,장편,캐나다,1,5000,1,0,0,SF,12세이상관람가,일반영화
형수님과의 하룻밤,나카노 료,,(주)영진크리에이티브,(주)영진크리에이티브,2016-11-17,개봉영화,장편,일본,1,5000,1,0,0,멜로/로맨스,청소년관람불가,일반영화
형수의 젖은 오후,타케호라 테츠야,,(주)도키엔터테인먼트,(주)도키엔터테인먼트,2016-07-01,개봉영화,장편,일본,1,8000,1,0,0,멜로/로맨스,청소년관람불가,일반영화
혼전 여직원의 연예,이케지마 유타카,,(주)도키엔터테인먼트,(주)도키엔터테인먼트,2016-08-01,개봉영화,장편,일본,1,8000,1,0,0,멜로/로맨스,청소년관람불가,일반영화
휴먼 레이스,폴 허프,,(주)퍼스트런,(주)퍼스트런,2016-10-27,개봉영화,장편,미국,1,4000,1,4000,1,공포(호러),청소년관람불가,일반영화
흉가괴담,마틴 앤더슨,,(주)케이알씨지,(주)케이알씨지,2016-09-19,개봉영화,장편,미국,1,3000,1,0,0,공포(호러),청소년관람불가,일반영화
히트맨: 앱솔루션,베르너 슈만,,제인앤유,제인앤유,2016-09-23,개봉영화,장편,독일,1,5000,1,0,0,액션,청소년관람불가,일반영화
히틀러 좀비 군단 : 벙커 오브 더 데드,마티아스 올로프,,(주)도키엔터테인먼트,(주)도키엔터테인먼트,2016-09-21,개봉영화,장편,독일,1,8000,1,0,0,액션,청소년관람불가,일반영화
2차 세계대전 타임트랙,에밀 에드윈 스미스,,(주)케이알씨지,(주)케이알씨지,2016-07-21,개봉영화,장편,미국,1,3000,1,0,0,액션,12세이상관람가,일반영화
AV스타: 과거를 지워주세요,케이치 후지와라,,(주)영진크리에이티브,(주)영진크리에이티브,2016-09-30,개봉영화,장편,일본,1,5000,1,0,0,멜로/로맨스,청소년관람불가,일반영화
VIP전용 여자,카네다 사토시,,(주)도키엔터테인먼트,(주)도키엔터테인먼트,2016-12-01,개봉영화,장편,일본,1,8000,1,0,0,성인물(에로),청소년관람불가,일반영화
av감독의 아내,쿠도 마사노리,,(주)도키엔터테인먼트,(주)도키엔터테인먼트,2016-12-22,개봉영화,장편,일본,1,8000,1,0,0,성인물(에로),청소년관람불가,일반영화
공조,김성훈,"(주)제이케이필름,씨제이이앤엠(주),영화사 이창,(주)에이치비엔터테인먼트",,씨제이이앤엠(주),2017-01-18,개봉영화,장편,한국,976,63781731326,7817446,14672808676,1744624,액션,15세이상관람가,일반영화
더 킹,한재림,(주)우주필름,,(주)넥스트엔터테인먼트월드(NEW),2017-01-18,개봉영화,장편,한국,1310,43486078535,5316325,11144618435,1318493,범죄,15세이상관람가,일반영화
분노의 질주: 더 익스트림,F. 게리 그레이,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2017-04-12,개봉영화,장편,미국,1469,29981156348,3653238,7936210998,932027,액션,15세이상관람가,일반영화
미이라,알렉스 커츠먼,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2017-06-06,개봉영화,장편,미국,1257,30036990078,3628949,7718603628,892635,액션,15세이상관람가,일반영화
너의 이름은.,신카이 마코토,,(주)미디어캐슬,메가박스중앙(주)플러스엠,2017-01-04,개봉영화,장편,일본,947,29082113856,3616250,9276961556,1116354,애니메이션,12세이상관람가,일반영화
캐리비안의 해적: 죽은 자는 말이 없다,"요아킴 뢰닝,에스펜 샌버그",,월트디즈니컴퍼니코리아 유한책임회사,월트디즈니컴퍼니코리아 유한책임회사,2017-05-24,개봉영화,장편,미국,1357,24937474622,3045449,7181019322,836949,액션,12세이상관람가,일반영화
프리즌,나현,(주)큐로홀딩스,,(주)쇼박스,2017-03-23,개봉영화,장편,한국,1047,23790276987,2931897,5681060637,679455,범죄,청소년관람불가,일반영화
가디언즈 오브 갤럭시 VOL. 2,제임스 건,,월트디즈니컴퍼니코리아 유한책임회사,월트디즈니컴퍼니코리아 유한책임회사,2017-05-03,개봉영화,장편,미국,1218,23452674686,2735719,7669006186,854131,액션,12세이상관람가,일반영화
보안관,김형주,"(주)영화사 월광,(주)사나이픽처스",,롯데쇼핑㈜롯데엔터테인먼트,2017-05-03,개봉영화,장편,한국,1091,20693290509,2570874,4093422209,491530,범죄,15세이상관람가,일반영화
조작된 도시,박광현,"(주)티피에스컴퍼니,(주)영화사심플렉스,컬쳐메이트",,씨제이이앤엠(주),2017-02-09,개봉영화,장편,한국,1019,20119979587,2512572,4696743687,564486,범죄,15세이상관람가,일반영화
보스 베이비,톰 맥그라스,,씨제이이앤엠(주),씨제이이앤엠(주),2017-05-03,개봉영화,장편,미국,1116,18898606204,2447246,4724943504,582820,애니메이션,전체관람가,일반영화
재심,김태윤,(주)이디오플랜,,"오퍼스픽쳐스(유),CGV아트하우스",2017-02-15,개봉영화,장편,한국,935,19263100637,2420729,4569982837,555767,드라마,15세이상관람가,일반영화
모아나,"론 클레멘츠,존 머스커",,월트디즈니컴퍼니코리아 유한책임회사,월트디즈니컴퍼니코리아 유한책임회사,2017-01-12,개봉영화,장편,미국,953,18055062307,2310054,4735422707,572295,애니메이션,전체관람가,일반영화
원더 우먼,팻티 젠킨스,,워너브러더스 코리아(주),워너브러더스 코리아(주),2017-05-31,개봉영화,장편,미국,1034,17378566986,2153152,5302201586,631826,액션,12세이상관람가,일반영화
겟 아웃,조던 필,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2017-05-17,개봉영화,장편,미국,945,17368201175,2128572,5296231575,624946,공포(호러),15세이상관람가,일반영화
트랜스포머: 최후의 기사,마이클 베이,,롯데쇼핑㈜롯데엔터테인먼트,롯데쇼핑㈜롯데엔터테인먼트,2017-06-21,개봉영화,장편,미국,1739,17493133328,2125953,4335899728,500601,액션,12세이상관람가,일반영화
로건,제임스 맨골드,,이십세기폭스코리아(주),이십세기폭스코리아(주),2017-03-01,개봉영화,장편,미국,954,17590962723,2070084,5779445923,655286,액션,청소년관람불가,일반영화
노무현입니다,이창재,영화사 풀,,"CGV아트하우스,영화사 풀",2017-05-25,개봉영화,장편,한국,775,14305195012,1821000,3387200312,416953,다큐멘터리,12세이상관람가,일반영화
콩: 스컬 아일랜드,조던 복트-로버츠,,워너브러더스 코리아(주),워너브러더스 코리아(주),2017-03-08,개봉영화,장편,미국,984,13951644383,1685933,3315501383,382935,액션,12세이상관람가,일반영화
23 아이덴티티,M. 나이트 샤말란,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2017-02-22,개봉영화,장편,미국,952,13609456135,1675798,4134850035,490806,스릴러,15세이상관람가,일반영화
임금님의 사건수첩,문현성,"(주)영화사람,씨제이이앤엠(주),(주)더타워픽쳐스",,씨제이이앤엠(주),2017-04-26,개봉영화,장편,한국,1054,12648793723,1634403,3034042823,380247,코미디,12세이상관람가,일반영화
특별시민,박인제,(주)팔레트픽처스,,(주)쇼박스,2017-04-26,개봉영화,장편,한국,1154,10494768945,1362634,2869531745,360598,드라마,15세이상관람가,일반영화
에이리언: 커버넌트,리들리 스콧,,이십세기폭스코리아(주),이십세기폭스코리아(주),2017-05-09,개봉영화,장편,미국,841,10735246264,1305826,3393213714,395671,SF,15세이상관람가,일반영화
해빙,이수연,"위더스필름(주),(주)영화사불",,롯데쇼핑㈜롯데엔터테인먼트,2017-03-01,개봉영화,장편,한국,915,9879737822,1201576,2434113422,284100,스릴러,15세이상관람가,일반영화
악녀,정병길,(주)앞에있다,,(주)넥스트엔터테인먼트월드(NEW),2017-06-08,개봉영화,장편,한국,685,9493804744,1176711,2478368444,296311,액션,청소년관람불가,일반영화
불한당: 나쁜 놈들의 세상,변성현,"씨제이이앤엠(주),(주)바른손",,씨제이이앤엠(주),2017-05-17,개봉영화,장편,한국,860,7512332225,930866,2023201925,242550,범죄,청소년관람불가,일반영화
대립군,정윤철,"리얼라이즈픽쳐스(주),이십세기폭스 인터내셔널 프로덕션,(주)베르디미디어,(주)블러썸픽쳐스",,이십세기폭스코리아(주),2017-05-31,개봉영화,장편,한국,809,6267195402,836140,1501558202,190501,드라마,15세이상관람가,일반영화
레지던트 이블: 파멸의 날,폴 W.S. 앤더슨,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2017-01-25,개봉영화,장편,미국,599,6422202365,765259,1676603015,193951,액션,청소년관람불가,일반영화
공각기동대 : 고스트 인 더 쉘,루퍼트 샌더스,,롯데쇼핑㈜롯데엔터테인먼트,롯데쇼핑㈜롯데엔터테인먼트,2017-03-29,개봉영화,장편,미국,807,6285970884,764072,1900110084,222563,SF,15세이상관람가,일반영화
트롤,"마이크 미첼,월트 도른",드림웍스 애니메이션,씨제이이앤엠(주),씨제이이앤엠(주),2017-02-16,개봉영화,장편,미국,622,5011161500,675966,1057171000,136139,애니메이션,전체관람가,일반영화
아빠는 딸,김형협,영화사김치(주),,메가박스중앙(주)플러스엠,2017-04-12,개봉영화,장편,한국,520,5046766395,646195,1154175195,141570,코미디,12세이상관람가,일반영화
컨택트,드니 빌뇌브,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2017-02-02,개봉영화,장편,미국,605,5174020721,629322,2112362621,249789,SF,12세이상관람가,일반영화
박열,이준익,(유)박열문화전문회사,,메가박스중앙(주)플러스엠,2017-06-28,개봉영화,장편,한국,1176,3770464126,536597,1082642626,150743,드라마,12세이상관람가,일반영화
얼라이드,로버트 저메키스,,롯데쇼핑㈜롯데엔터테인먼트,롯데쇼핑㈜롯데엔터테인먼트,2017-01-11,개봉영화,장편,미국,546,4278041179,518886,1600695179,190720,스릴러,15세이상관람가,일반영화
그레이트 월,장예모,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2017-02-15,개봉영화,장편,미국,598,4352841358,501286,1257212358,138597,판타지,12세이상관람가,일반영화
트리플 엑스 리턴즈,D.J. 카루소,,롯데쇼핑㈜롯데엔터테인먼트,롯데쇼핑㈜롯데엔터테인먼트,2017-02-08,개봉영화,장편,미국,590,3967335095,475309,1022502995,116855,액션,15세이상관람가,일반영화
히든 피겨스,데오도르 멜피,,이십세기폭스코리아(주),이십세기폭스코리아(주),2017-03-23,개봉영화,장편,미국,448,3575594033,448826,1591867433,194719,드라마,12세이상관람가,일반영화
원라인,양경모,"(주)미인픽쳐스,(주)곽픽쳐스",,(주)넥스트엔터테인먼트월드(NEW),2017-03-29,개봉영화,장편,한국,613,3310122433,433825,807184333,101624,범죄,15세이상관람가,일반영화
터닝메카드W: 블랙미러의 부활,"홍헌표,김석원",㈜희원엔터테인먼트,,씨네그루(주)키다리이엔티,2017-01-18,개봉영화,장편,한국,570,3213263000,429569,676764500,86626,애니메이션,전체관람가,독립/예술영화
스머프: 비밀의 숲,캘리 애스버리,,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,2017-04-28,개봉영화,장편,미국,607,3122661000,427764,633690100,83429,애니메이션,전체관람가,일반영화
킹 아서: 제왕의 검,가이 리치,,워너브러더스 코리아(주),워너브러더스 코리아(주),2017-05-17,개봉영화,장편,영국,588,3348220655,412843,953887855,113292,판타지,12세이상관람가,일반영화
보통사람,김봉한,"(주)트리니티엔터테인먼트,(주)영화사장춘",,오퍼스픽쳐스(유),2017-03-23,개봉영화,장편,한국,621,2956397623,383336,736134723,92067,드라마,15세이상관람가,일반영화
눈의 여왕 3: 눈과 불의 마법대결,알렉세이 트시칠린,,(주)시네마리퍼블릭,(주)이수C&E,2017-01-04,개봉영화,장편,러시아,526,2694247700,366442,433186900,54862,애니메이션,전체관람가,독립/예술영화
어쌔신 크리드,저스틴 커젤,,이십세기폭스코리아(주),이십세기폭스코리아(주),2017-01-11,개봉영화,장편,미국,566,2899784921,355913,763791621,90313,액션,15세이상관람가,일반영화
싱글라이더,이주영,(주)퍼펙트스톰필름,,워너브러더스 코리아(주),2017-02-22,개봉영화,장편,한국,576,2685519021,351276,945782821,119087,드라마,15세이상관람가,일반영화
석조저택 살인사건,"정식,김휘",주식회사 영화사다,,씨네그루(주)키다리이엔티,2017-05-09,개봉영화,장편,한국,539,2802134886,350129,764028486,92270,스릴러,15세이상관람가,일반영화
사랑하기 때문에,주지홍,(주)에이디사공육,,(주)넥스트엔터테인먼트월드(NEW),2017-01-04,개봉영화,장편,한국,542,2538169440,324420,516573040,63326,코미디,12세이상관람가,일반영화
존 윅 - 리로드,채드 스타헬스키,,(유)조이앤시네마,(주)제이앤씨미디어그룹,2017-02-22,개봉영화,장편,미국,250,2205582600,276379,752850000,92798,액션,청소년관람불가,일반영화
목소리의 형태,야마다 나오코,,"(주)엔케이컨텐츠,(주)콘텐츠게이트",(주)디스테이션,2017-05-09,개봉영화,장편,일본,466,2140563014,272736,566227114,69415,애니메이션,전체관람가,일반영화
리얼,이사랑,(주)코브픽쳐스,,씨제이이앤엠(주),2017-06-28,개봉영화,장편,한국,970,1717338874,255180,501268674,72305,액션,청소년관람불가,일반영화
어느날,이윤기,(주)인벤트스톤,,"오퍼스픽쳐스(유),CGV아트하우스",2017-04-05,개봉영화,장편,한국,532,1827370582,232016,566199082,69068,멜로/로맨스,15세이상관람가,일반영화
발레리나,"에릭 섬머,에릭 와린",,판씨네마(주),판씨네마(주),2017-02-09,개봉영화,장편,프랑스,434,1509668400,201365,370927500,46384,애니메이션,전체관람가,일반영화
50가지 그림자: 심연,제임스 폴리,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2017-02-09,개봉영화,장편,미국,435,1589180900,189620,583553000,67787,드라마,청소년관람불가,일반영화
핵소 고지,멜 깁슨,,판씨네마(주),판씨네마(주),2017-02-22,개봉영화,장편,미국,442,1342081900,177601,470997000,60479,드라마,15세이상관람가,일반영화
문라이트,배리 젠킨스,,오드,CGV아트하우스,2017-02-22,개봉영화,장편,미국,173,1403639195,177483,851030495,105926,드라마,15세이상관람가,독립/예술영화
더 큐어,고어 버빈스키,,이십세기폭스코리아(주),이십세기폭스코리아(주),2017-02-15,개봉영화,장편,미국,419,1331883200,159948,484137700,56699,미스터리,청소년관람불가,일반영화
비정규직 특수요원,김덕수,"(주)스톰픽쳐스코리아,컴퍼니에이이엔티(주)",,"(주)이수C&E,(주)스톰픽쳐스코리아",2017-03-16,개봉영화,장편,한국,497,1150732700,149719,244094600,30726,코미디,15세이상관람가,일반영화
레고 배트맨 무비,크리스 맥케이,,워너브러더스 코리아(주),워너브러더스 코리아(주),2017-02-09,개봉영화,장편,미국,427,1175424305,148760,387885305,45835,애니메이션,전체관람가,일반영화
극장판 또봇: 로봇군단의 습격,"이달,고동우",레트로봇 주식회사,,씨제이이앤엠(주),2017-04-27,개봉영화,장편,한국,231,1089135300,141592,214935500,27208,애니메이션,전체관람가,일반영화
명탐정 코난: 에피소드 원-작아진 명탐정,야마모토 야스이치로,,씨제이이앤엠(주),씨제이이앤엠(주),2017-02-08,개봉영화,장편,일본,215,999362100,128472,201352200,25052,애니메이션,12세이상관람가,일반영화
눈길,이나정,KBS,,"(주)엣나인필름,CGV아트하우스",2017-03-01,개봉영화,장편,한국,495,946705100,126384,227150700,29161,드라마,15세이상관람가,독립/예술영화
시간위의 집,임대웅,"리드미컬그린(주),자이온 이엔티(주),브릿지웍스 엔터테인먼트(주),라이브(주)",,"(주)리틀빅픽쳐스,(주)페퍼민트앤컴퍼니",2017-04-05,개봉영화,장편,한국,454,987958600,124601,247386600,29576,미스터리,15세이상관람가,일반영화
마이펫 오지,알베르토 로드리게즈,,㈜코리아스크린,롯데쇼핑㈜롯데엔터테인먼트,2017-02-16,개봉영화,장편,스페인,393,911866950,124112,227644200,29374,애니메이션,전체관람가,독립/예술영화
짱구는 못말려 극장판: 폭풍수면! 꿈꾸는 세계 대돌격,타카하시 와타루,,대원미디어(주),(주)넥스트엔터테인먼트월드(NEW),2017-01-25,개봉영화,장편,일본,334,905611600,119197,147031700,18053,애니메이션,전체관람가,일반영화
극장판 소드 아트 온라인 -오디널 스케일-,이토 토모히코,,(주)애니플러스,(주)박수엔터테인먼트,2017-02-23,개봉영화,장편,일본,124,897598000,117401,277569000,35430,애니메이션,12세이상관람가,일반영화
여교사,김태용,(주)외유내강,,필라멘트픽쳐스,2017-01-04,개봉영화,장편,한국,393,947192460,116851,299247560,36539,드라마,청소년관람불가,독립/예술영화
"서서평, 천천히 평온하게","홍주연,홍현정",재단법인 온누리선교재단(CGNTV),,커넥트픽쳐스(주),2017-04-26,개봉영화,장편,한국,234,833960900,115561,421385600,55651,다큐멘터리,전체관람가,독립/예술영화
베이블레이드 버스트 갓 : 갓 발키리의 탄생,야마구치 켄타로,,(주)영실업,씨제이이앤엠(주),2017-06-01,개봉영화,장편,일본,198,822068000,108730,146349000,19055,애니메이션,전체관람가,일반영화
루시드 드림,김준성,(주)로드픽쳐스,,(주)넥스트엔터테인먼트월드(NEW),2017-02-22,개봉영화,장편,한국,461,759481000,102170,225006500,29168,SF,15세이상관람가,일반영화
딥워터 호라이즌,피터 버그,,(주)우성엔터테인먼트,메가박스중앙(주)플러스엠,2017-01-25,개봉영화,장편,미국,433,775611543,100021,236676643,30009,액션,12세이상관람가,일반영화
라이언,가스 데이비스,,(주)우성엔터테인먼트,(주)이수C&E,2017-02-01,개봉영화,장편,호주,205,736334100,98660,268044000,35523,드라마,12세이상관람가,독립/예술영화
슈퍼 빼꼼: 스파이 대작전,임아론,(합)알지애니메이션스튜디오,,메가박스중앙(주)플러스엠,2017-05-03,개봉영화,장편,한국,358,689079900,96462,115854000,15029,애니메이션,전체관람가,일반영화
사일런스,마틴 스코세이지,,(주)메인타이틀픽쳐스,씨네그루(주)키다리이엔티,2017-02-28,개봉영화,장편,미국,342,700818300,94750,298799600,38435,드라마,15세이상관람가,독립/예술영화
파도가 지나간 자리,데릭 시엔프랜스,,그린나래미디어(주),CGV아트하우스,2017-03-08,개봉영화,장편,미국,276,634595200,82177,263656600,33216,드라마,15세이상관람가,독립/예술영화
너와 100번째 사랑,츠키카와 쇼,,(주)엔케이컨텐츠,(주)디스테이션,2017-05-25,개봉영화,장편,일본,140,620733200,78930,193154900,23328,드라마,12세이상관람가,독립/예술영화
바다 탐험대 옥토넛 시즌4: 더 파이널,다라 오코넬,,(주)얼리버드픽쳐스,와이드 릴리즈(주),2017-06-01,개봉영화,장편,영국,167,475425000,72926,117097000,17370,애니메이션,전체관람가,독립/예술영화
오두막,스튜어트 하젤딘,,판씨네마(주),판씨네마(주),2017-04-20,개봉영화,장편,미국,396,559079300,72849,281508200,35423,드라마,12세이상관람가,독립/예술영화
파워레인져스: 더 비기닝,딘 이스라엘리트,,(주)넥스트엔터테인먼트월드(NEW),(주)넥스트엔터테인먼트월드(NEW),2017-04-20,개봉영화,장편,미국,479,570203561,72495,181869261,22185,액션,12세이상관람가,일반영화
패트리어트 데이,피터 버그,,"(주)비트윈에프앤아이,(주)미니엄쇼",(주)이수C&E,2017-04-06,개봉영화,장편,미국,375,521471618,66074,173633018,21365,드라마,15세이상관람가,일반영화
더 서클,제임스 폰솔트,,(주)메인타이틀픽쳐스,씨네그루(주)키다리이엔티,2017-06-22,개봉영화,장편,미국,169,536591400,65910,204755100,24662,드라마,12세이상관람가,독립/예술영화
극장판 쿠로코의 농구 라스트 게임,타다 슌스케,,(주)애니플러스,(주)박수엔터테인먼트,2017-04-27,개봉영화,장편,일본,96,460086500,62033,211241000,27602,애니메이션,12세이상관람가,일반영화
바다 탐험대 옥토넛 시즌4: 바다 괴물 대소동,다라 오코넬,,(주)얼리버드픽쳐스,와이드 릴리즈(주),2017-01-25,개봉영화,장편,영국,145,404919500,60935,109442000,16138,애니메이션,전체관람가,독립/예술영화
꼬마참새 리차드: 아프리카 원정대,"토비 젠켈,레자 메마리",,(주)우성엔터테인먼트,씨네그루(주)키다리이엔티,2017-06-15,개봉영화,장편,독일,319,434251400,58384,84275800,10613,애니메이션,전체관람가,독립/예술영화
밤의 해변에서 혼자,홍상수,(주)영화제작전원사,,"(주)영화제작전원사 ,(주)콘텐츠판다",2017-03-23,개봉영화,장편,한국,133,438124100,56907,274602900,34539,드라마,청소년관람불가,독립/예술영화
나의 붉은고래,"양선,장춘",,(주)영화사 빅,(주)영화사 빅,2017-06-15,개봉영화,장편,중국,390,433137000,56108,135818200,16581,애니메이션,전체관람가,독립/예술영화
맨체스터 바이 더 씨,케네스 로너건,,(주)아이아스플러스,THE 픽쳐스,2017-02-15,개봉영화,장편,미국,109,431623800,53779,254824600,30655,드라마,15세이상관람가,독립/예술영화
옥자,봉준호,"플랜 비 엔터테인먼트,(주)루이스 픽쳐스",,(주)넥스트엔터테인먼트월드(NEW),2017-06-29,개봉영화,장편,미국,111,372557400,49479,235482900,29163,어드벤처,12세이상관람가,일반영화
미스 슬로운,존 매든,,(주)메인타이틀픽쳐스,(주)메인타이틀픽쳐스,2017-03-29,개봉영화,장편,미국,104,381394300,48051,199557400,24714,드라마,15세이상관람가,독립/예술영화
매기스 플랜,레베카 밀러,,오드,오드,2017-01-25,개봉영화,장편,미국,94,382361800,47668,258221100,31084,코미디,15세이상관람가,독립/예술영화
"그래, 가족",마대윤,"(주)청우필름,(주)26컴퍼니,(주)데이드림",,월트디즈니컴퍼니코리아 유한책임회사,2017-02-15,개봉영화,장편,한국,361,350293300,46623,154192600,19381,코미디,12세이상관람가,일반영화
리틀 프린세스 소피아: 엘레나와 비밀의 아발로 왕국,제이미 미첼,,월트디즈니컴퍼니코리아 유한책임회사,월트디즈니컴퍼니코리아 유한책임회사,2017-04-13,개봉영화,장편,미국,149,317454000,45484,82872000,11129,애니메이션,전체관람가,일반영화
심야식당 2,마츠오카 조지,,(주)엔케이컨텐츠,(주)디스테이션,2017-06-08,개봉영화,장편,일본,235,356293400,45379,173269800,21300,드라마,12세이상관람가,독립/예술영화
댄서,스티븐 캔터,,(주)엣나인필름,(주)엣나인필름,2017-04-13,개봉영화,장편,영국,43,354909049,43901,262544049,31397,다큐멘터리,15세이상관람가,독립/예술영화
레이디버그,장성,(주)삼지애니메이션,,(주)삼지애니메이션,2017-02-22,개봉영화,장편,한국,172,310291500,41041,83810500,10575,애니메이션,전체관람가,일반영화
흑집사 -북 오브 더 아틀란틱-,아베 노리유키,,(주)애니플러스,(주)박수엔터테인먼트,2017-04-13,개봉영화,장편,일본,94,285103000,37954,109963000,14294,애니메이션,15세이상관람가,일반영화
스노든,올리버 스톤,,주식회사 더쿱,(주)리틀빅픽쳐스,2017-02-09,개봉영화,장편,프랑스,278,295958562,36485,140562462,16913,스릴러,15세이상관람가,독립/예술영화
