영화명,감독,제작사,수입사,배급사,개봉일,영화유형,영화형태,국적,전국스크린수,전국매출액,전국관객수,서울매출액,서울관객수,장르,등급,영화구분
헨젤과 그레텔: 마녀 사냥꾼 3D,토미 위르콜라,,씨제이이앤엠(주),씨제이이앤엠(주),2013-02-14,개봉영화,장편,미국,297,2122205602,269510,670928602,80519,액션,청소년관람불가,일반영화
파이스토리 : 악당상어 소탕작전,"마크 A.Z. 디페,박태동",,데이지엔터테인먼트,(주)에스비에스콘텐츠허브,2013-01-10,개봉영화,장편,미국,298,1807928000,267373,355218500,50053,애니메이션,전체관람가,일반영화
장고:분노의 추적자,쿠엔틴 타란티노,,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),2013-03-21,개봉영화,장편,미국,342,1883634000,260144,908138000,120823,서부극(웨스턴),청소년관람불가,일반영화
분노의 윤리학,박명랑,"(주)티피에스컴퍼니,(주)사람엔터테인먼트",,롯데쇼핑㈜롯데엔터테인먼트,2013-02-21,개봉영화,장편,한국,302,1654554000,224891,516562000,68651,스릴러,청소년관람불가,일반영화
짱구는 못말려 극장판:태풍을 부르는 나와 우주의 프린세스,마스이 소이치,,대원미디어(주),롯데쇼핑㈜롯데엔터테인먼트,2013-04-25,개봉영화,장편,일본,290,1430168500,217320,254199000,36672,애니메이션,전체관람가,일반영화
송 포 유,폴 앤드류 윌리엄스,,(주)유이케이,(주)넥스트엔터테인먼트월드(NEW),2013-04-18,개봉영화,장편,영국,317,1475909000,212813,580350500,80300,코미디,12세이상관람가,일반영화
비포 미드나잇,리차드 링클레이터,,(주)에이블엔터테인먼트,(주)팝엔터테인먼트,2013-05-22,개봉영화,장편,미국,275,1362271200,185791,889118700,117508,드라마,청소년관람불가,일반영화
마이 리틀 히어로,김성훈,굿초이스컷픽쳐스(주),,씨제이이앤엠(주),2013-01-09,개봉영화,장편,한국,341,1286203128,183650,358976628,49040,드라마,전체관람가,일반영화
해양경찰 마르코,얀 리벡,,(주)스마일이엔티,(주)인벤트스톤,2013-02-14,개봉영화,장편,덴마크,276,1143045000,180618,228714500,34508,어드벤처,전체관람가,일반영화
로마 위드 러브,우디 알렌,,(주)나이너스엔터테인먼트,(주)나이너스엔터테인먼트,2013-04-18,개봉영화,장편,미국,201,1312015090,179022,869288090,115603,코미디,청소년관람불가,독립/예술영화
백악관 최후의 날,안톤 후쿠아,,우성엔터테인먼트,씨너스엔터테인먼트(주),2013-06-05,개봉영화,장편,미국,283,1251729500,178072,384808000,52768,액션,청소년관람불가,일반영화
명탐정 코난:은빛 날개의 마술사,야마모토 야스이치로,,얼리버드,씨제이이앤엠(주),2013-01-24,개봉영화,장편,일본,139,1158686500,176483,210276500,31323,애니메이션,전체관람가,일반영화
노리개,최승호,주식회사 마운틴픽쳐스,,(주)인벤트스톤,2013-04-18,개봉영화,장편,한국,278,1229574500,169054,371215500,48830,드라마,청소년관람불가,일반영화
더 자이언트,프라파스 콜사라논,,"(주)애니플러스,(주)토러스엔터테인먼트",(주)마인스 엔터테인먼트,2013-02-21,개봉영화,장편,미국,227,996566000,157972,270661000,40716,애니메이션,전체관람가,일반영화
안나 카레니나,조 라이트,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2013-03-21,개봉영화,장편,미국,248,982117000,143370,526552500,73795,드라마,15세이상관람가,일반영화
