,전국스크린수,전국관객수,expert_rating,running_times,audience_rating,rating_audiences,director_power
269,255,82210,6.86,116,9.130952380952381,84,82210.0
270,348,82148,0.0,70,7.15483870967742,310,82148.0
271,396,79701,4.65,100,8.201754385964913,114,86013.0
272,333,78253,7.53,118,9.143835616438356,146,130713.0
273,387,76321,3.5,99,5.87037037037037,54,76321.0
274,147,74977,7.13,97,8.595505617977528,89,74977.0
275,393,69303,5.5,72,7.152941176470589,170,554909.0
276,384,68815,6.4,122,7.865853658536586,82,443134.0
277,119,65887,3.0,114,9.3,10,65887.0
278,155,60977,0.0,58,7.775862068965517,232,1206342.0
279,310,58784,7.6,124,8.64102564102564,39,58784.0
280,162,56866,0.0,68,8.451612903225808,155,1206342.0
281,258,56476,0.0,72,8.782608695652174,69,56476.0
282,186,55765,5.17,97,7.66,100,55819.0
283,176,55330,6.4,118,8.0,1,55330.0
284,353,54972,3.0,88,6.55,40,54972.0
285,219,54450,3.0,96,6.977777777777778,45,535159.0
286,1788,11565078,7.1,118,8.546636279226808,11847,35729066.0
287,1444,7487545,7.5,140,8.578849289541113,4293,15041788.0
288,1105,7118592,7.21,126,8.660829649778988,5882,10247082.0
289,1049,7049643,3.41,110,8.570277390361072,6453,7084821.0
290,1158,6965706,5.68,112,8.826053442959918,3892,1176076.0
291,964,5593551,5.95,127,8.859929078014185,3948,12152726.0
292,1503,5446239,7.03,115,8.949522226838388,4814,5516025.0
293,1501,4935320,5.77,143,8.686219739292365,5370,5496547.0
294,1431,4662534,7.08,132,8.768924302788845,3263,16840678.0
295,1166,4301361,5.92,136,8.914615770969364,1991,0.0
296,1200,3100113,5.34,129,8.588807785888077,2055,8210440.0
297,993,2979659,4.55,110,9.01103448275862,1450,2979659.0
298,904,2718158,7.08,127,8.592145015105741,1655,6578341.0
299,827,2611966,5.97,123,8.411099949773982,3982,2853480.0
300,1091,2601734,6.52,97,8.69192200557103,1795,2601734.0
301,1278,2594028,6.56,132,6.558953033268103,4088,3122222.0
302,726,2517805,6.67,90,8.703752468729428,3038,7075659.0
303,727,2384782,8.34,127,8.868760064412239,1242,10113218.0
304,942,2044564,5.14,121,8.317815577439571,1117,2044564.0
305,823,1898121,5.15,122,7.6155837432047635,3863,3266826.0
306,717,1399771,8.75,222,9.0,1,0.0
307,716,1157156,7.1,122,8.41340782122905,895,2947429.0
308,790,1153109,6.72,100,8.590727418065548,1251,4978770.0
309,767,1124815,5.44,111,8.872954764196342,1039,2335092.0
310,659,1111158,0.0,81,7.713203463203462,924,7858350.0
311,795,1061913,6.71,108,9.039348710990502,1474,1061913.0
312,671,999047,7.04,88,8.461838006230531,1284,999047.0
313,765,971194,5.78,129,8.239467849223947,451,2708447.0
314,579,921317,5.79,133,8.081967213114755,1525,1966151.0
315,509,820995,5.63,123,9.161118508655127,751,820995.0
316,702,757430,6.38,121,9.247206703910617,716,5262812.0
317,562,703024,5.5,126,8.880952380952381,882,703024.0
318,754,689071,4.67,121,8.2,610,4302393.0
319,573,627102,7.75,96,8.907035175879399,398,1943736.0
320,667,611097,4.88,118,8.190140845070422,426,631545.0
321,907,596487,7.16,133,8.38107869142352,1131,1307301.0
322,580,553760,6.0,94,8.163934426229508,610,553760.0
323,320,551897,5.25,98,7.5,8,552142.0
324,511,515522,6.58,116,8.416058394160585,685,2023958.0
325,515,513202,5.75,112,8.622535211267605,355,513202.0
326,884,510878,6.68,129,8.191629955947137,454,527611.0
327,447,507508,7.0,112,9.04263959390863,985,5748553.0
328,518,384789,7.25,86,8.227513227513228,378,6093136.0
329,467,331877,4.5,99,7.777292576419214,229,1027700.0
330,403,330665,6.0,94,8.569124423963133,434,1432121.0
331,538,318977,7.0,87,8.825657894736842,304,1039533.0
332,498,288016,4.33,90,6.3147410358565725,251,288016.0
333,399,233283,7.0,89,8.5375,320,233283.0
334,480,219047,0.0,95,8.811563169164883,467,7587500.0
335,445,215159,6.78,120,9.170673076923077,416,215159.0
336,263,212599,5.83,127,7.473684210526316,19,212913.0
337,66,192668,6.0,124,9.565400843881855,237,192668.0
338,332,160860,0.0,91,8.246200607902736,329,0.0
339,425,151360,5.0,80,8.25974025974026,154,151360.0
340,440,146548,6.92,93,5.224334600760456,263,35729066.0
341,294,142577,5.0,91,8.08860759493671,79,142577.0
342,382,139717,6.64,111,8.869565217391305,184,180519.0
343,329,135094,7.0,90,8.439024390243903,82,2683233.0
344,152,129774,7.67,106,9.58085808580858,303,687080.0
345,199,126439,6.77,96,8.178082191780822,219,363352.0
346,128,125800,7.45,117,0.0,0,6576583.0
347,317,119964,6.94,111,8.457943925233645,107,1736767.0
348,400,117362,5.0,90,8.738636363636363,88,352086.0
349,167,109137,7.0,103,8.415254237288135,118,109137.0
350,53,103852,0.0,60,9.692307692307693,26,307662.0
351,422,96305,5.5,92,8.342465753424658,73,96305.0
352,462,95542,6.07,93,8.641304347826088,92,95542.0
353,88,94243,6.0,92,8.393258426966293,89,94243.0
354,72,93005,7.07,117,8.666666666666666,312,1027046.0
355,375,89510,6.38,89,8.894080996884735,321,8833391.0
356,255,86293,6.0,82,8.866071428571429,224,258879.0
357,199,80754,6.9,93,8.394736842105264,114,264690.0
358,354,79812,8.1,103,8.333333333333334,90,79889.0
359,130,75704,0.0,89,9.196078431372547,306,96518.0
